codigo;razao_10mais_40menos_2000;razao_20mais_40menos_2000;indigentes_2000;pobres_2000;idhm_renda_2003;idhm_edu_2003
5220504;22,402;13,853;12,123;40,096;0,689;0,803
5220603;20,193;12,993;13,14;45,329;0,684;0,84
5220686;36,708;22,251;47,957;75,512;0,561;0,733
5220702;31,77;19,665;54,676;81,673;0,536;0,729
5221007;34,469;20,164;24,925;58,366;0,645;0,83
5221080;58,407;38,14;49,814;73,607;0,572;0,727
5221197;15,532;10,816;25,15;54,731;0,624;0,788
5221304;14,029;9,419;11,312;33,044;0,657;0,902
5221403;12,719;8,754;15,324;40,731;0,644;0,842
5221452;11,727;8,75;30,196;60,945;0,598;0,847
5221502;13,32;9,243;16,128;45,117;0,659;0,83
5221551;21,492;14,004;22,476;53,653;0,641;0,764
5221577;18,569;12,201;37,509;69,598;0,579;0,787
5221601;20,875;13,796;22,23;51,579;0,651;0,85
5221700;16,718;10,739;16,528;44,956;0,659;0,838
5221809;16,951;11,035;8,67;37,609;0,672;0,878
5221858;17,054;12,238;12,179;29,255;0,716;0,902
5221908;9,556;6,978;16,263;46,76;0,636;0,81
5222005;32,669;19,691;13,631;37,081;0,753;0,836
5222054;21,846;13,725;9,979;37,068;0,701;0,819
5222203;14,395;9,478;37,989;67,595;0,582;0,738
5222302;14,395;9,801;40,378;72,856;0,556;0,718
2100055;25,649;15,856;29,735;63,709;0,608;0,769
2100105;16,275;12,074;71,406;90,301;0,423;0,655
2100154;22,621;15,927;70,811;90,059;0,422;0,59
2100204;42,186;28,402;63,865;86,386;0,458;0,741
2100303;17,409;12,369;62,483;86,666;0,448;0,617
2100402;15,238;11,848;62,516;85,921;0,435;0,679
2100436;14,772;10,676;61,377;87,659;0,467;0,62
2100477;18,373;12,626;58,089;86,391;0,459;0,614
2100501;54,372;34,13;57,674;79,716;0,53;0,784
2100550;16,37;11,351;57,217;85,326;0,469;0,671
2100600;39,79;27,048;62,374;84,242;0,45;0,688
2100709;15,225;11,208;71,09;91,914;0,428;0,669
2100808;53,009;30,701;64,02;83,743;0,538;0,665
2100832;19,822;14,229;71,475;90,849;0,41;0,733
2100873;122,514;79,308;70,272;89,608;0,433;0,662
2100907;39,182;26,898;75,4;91,865;0,409;0,547
2100956;18,328;12,789;55,219;83,401;0,47;0,596
2101004;29,312;19,865;52,089;75,308;0,534;0,73
2101103;21,326;14,953;61,543;84,481;0,454;0,811
2101202;21,252;13,883;46,087;75,721;0,544;0,74
2101251;14,936;10,466;59,256;86,685;0,458;0,758
2101301;57,327;34,211;70,128;89,768;0,486;0,729
2101350;37,77;26,352;68,521;88,713;0,441;0,706
2101400;46,818;27,724;40,657;69,211;0,64;0,796
2101509;43,911;28,568;60,095;79,203;0,498;0,691
2101608;31,778;20,507;57,389;80,344;0,537;0,669
2101707;32,031;20,364;71,091;89,558;0,458;0,608
2101731;87,317;55,345;87,936;96,358;0,351;0,593
2101772;33,173;22,468;63,833;86,625;0,454;0,691
2101806;14,083;10,31;59,741;82,576;0,482;0,686
2101905;28,267;19,21;73,777;90,726;0,43;0,748
2101939;10,851;7,821;54,703;84,628;0,478;0,674
2101970;10,396;7,401;58,249;85,289;0,464;0,764
2102002;91,293;60,397;69,533;89,881;0,438;0,6
2102036;18,862;12,243;58,073;83,24;0,496;0,658
2102077;21,707;14,718;70,342;91,304;0,425;0,624
2102101;1510,539;1005,646;73,149;86,805;0,428;0,665
2102150;12,278;9,144;74,574;91,721;0,406;0,588
2102200;17,06;11,873;67,53;89,789;0,44;0,673
2102309;19,051;12,759;62,239;88,614;0,466;0,653
2102325;27,374;17,162;46,749;76,006;0,55;0,628
2102358;14,834;10,787;66,61;90,103;0,436;0,682
2102374;12,292;9,044;78,174;94,526;0,379;0,634
2102408;15,316;11,347;75,234;92,668;0,405;0,679
2102507;9,086;6,857;68,653;91,397;0,413;0,794
2102556;27,783;17,087;52,667;77,421;0,522;0,725
2102606;8,67;6,555;48,255;84,527;0,46;0,725
2102705;18,88;13,233;77,514;94,431;0,386;0,665
2102754;13,802;10,082;67,742;89,179;0,448;0,656
2102804;36,187;23,766;53,639;75,658;0,565;0,759
2102903;16,433;11,762;58,794;85,965;0,453;0,733
2103000;27,088;17,608;48,429;76,71;0,548;0,712
2103109;10,464;7,65;61,053;85,952;0,454;0,803
2103125;14,885;10,222;67,561;89,579;0,449;0,683
2103158;;;77,115;92,882;0,331;0,631
2103174;19,809;13,005;60,793;88,337;0,459;0,622
2103208;26,085;17,222;63,078;86,164;0,492;0,698
2103257;17,657;11,756;45,078;80,28;0,511;0,719
2103307;28,147;18,675;60,03;83,092;0,497;0,651
2103406;18,31;12,034;53,13;80,208;0,515;0,705
2103505;28,625;19,327;62,216;83,175;0,493;0,649
2103554;8,961;6,893;68,677;88,535;0,418;0,608
2103604;30,383;19,986;67,204;87,488;0,472;0,646
2103703;21,253;14,057;53,729;80,18;0,517;0,785
2103752;10,936;8,109;48,863;80,495;0,492;0,737
2103802;18,953;12,272;36,593;72,1;0,581;0,712
2103901;19,457;13,647;69,789;88,748;0,445;0,631
2104008;24,123;16,05;63,039;85,048;0,482;0,68
2104057;27,063;17,338;41,051;71,554;0,582;0,793
2104073;26,254;17,87;67,368;86,878;0,457;0,706
2104081;21,525;13,778;71,869;93,046;0,431;0,501
2104099;;;77,872;88,479;0,43;0,716
2104107;41,882;28,354;62,495;80,951;0,484;0,788
2104206;31,677;20,696;59,728;81,362;0,504;0,663
2104305;42,59;30,787;60,46;83,147;0,47;0,741
2104404;10,818;8,352;47,054;80,21;0,492;0,644
2104503;13,475;9,755;54,792;82,442;0,482;0,656
2104552;16,027;11,41;49,391;79,431;0,503;0,762
2104602;16,356;11,427;62,303;88,285;0,46;0,666
2104628;11,784;9,335;63,425;85,593;0,448;0,678
2104651;21,596;16,402;74,606;93,154;0,406;0,567
2104677;25,051;15,166;57,282;84,292;0,521;0,655
2104701;11,083;8,272;52,98;83,473;0,489;0,698
2104800;21,488;14,297;49,912;78,423;0,53;0,718
2104909;22,926;15,651;64,825;85,708;0,476;0,821
2105005;19,845;14,066;71,291;91,711;0,404;0,686
2105104;34,507;23,092;71,219;90,494;0,423;0,687
2105153;19,423;14,022;66,468;86,12;0,437;0,643
2105203;12,135;8,741;52,378;82,351;0,482;0,726
2105302;23,705;15,291;23,606;52,585;0,651;0,86
2105351;26,214;17,229;59,032;81,122;0,496;0,55
2105401;17,291;12,016;57,661;81,652;0,494;0,713
2105427;40,564;23,47;31,705;62,049;0,638;0,731
2105450;12,454;8,937;42,421;74,903;0,526;0,667
2105476;17,863;12,503;73,448;88,984;0,44;0,52
2105500;15,217;10,416;42,187;75,338;0,532;0,737
2105609;22,493;15,949;69,39;88,913;0,438;0,612
2105658;13,702;9,765;59,158;86,139;0,46;0,671
2105708;21,873;13,727;47,44;80,898;0,537;0,674
2105807;19,661;13,365;65,099;89,341;0,446;0,661
2105906;24,001;16,802;71,047;91,192;0,416;0,653
2105922;224,85;155,97;74,314;89,67;0,421;0,631
2105948;12,454;8,996;58,618;83,935;0,465;0,679
2105963;16,309;11,876;73,611;91,623;0,407;0,571
2105989;15,985;11,347;49,247;77,693;0,506;0,748
2106003;16,815;11,404;54,885;82,31;0,502;0,655
2106102;82,631;56,752;66,87;86,334;0,453;0,74
2106201;27,805;18,917;54,779;79,704;0,494;0,766
2106300;72,727;51,451;75,953;92,011;0,421;0,644
2106326;38,452;24,113;50,358;73,714;0,54;0,698
2106359;29,303;19,901;69,24;87,45;0,462;0,562
2106375;76,641;52,558;71,026;90,995;0,408;0,652
2106409;39,366;27,215;73,744;89,603;0,441;0,697
2106508;17,082;12,873;60,567;85,149;0,453;0,789
2106607;13,193;9,597;63,25;86,48;0,455;0,611
2106631;15,338;10,815;75,884;94,456;0,401;0,568
2106672;13,581;9,469;69,35;90,425;0,429;0,648
2106706;18,952;13,216;66,661;86,923;0,472;0,655
2106755;16,144;10,991;41,199;70,479;0,536;0,719
2106805;29,394;18,714;60,113;84,121;0,506;0,781
2106904;23,875;15,824;64,317;86,642;0,475;0,641
2107001;22,776;15,183;56,216;83,812;0,495;0,73
2107100;39,485;27,906;76,92;90,742;0,407;0,666
2107209;19,383;13,506;73,457;90,693;0,417;0,683
2107258;;;73,034;86,76;0,438;0,727
2107308;62,9;39,946;66,268;84,009;0,491;0,67
2107357;101,759;65,487;67,608;84,015;0,484;0,634
2107407;21,719;14,523;54,354;81,05;0,508;0,621
2107456;18,293;13,161;70,077;86,348;0,442;0,743
2107506;16,054;11,426;29,493;56,043;0,604;0,865
2107605;22,877;15,326;64,807;89,807;0,437;0,709
2107704;27,759;17,868;46,56;78,71;0,526;0,666
2107803;25,715;17,903;73,381;90,666;0,425;0,633
2107902;35,547;26,008;66,878;85,057;0,46;0,614
2108009;86,738;59,075;64,259;79,33;0,477;0,706
2108058;26,046;19,607;78,146;94,121;0,381;0,626
2108108;20,708;14,48;62,33;85,804;0,448;0,611
2108207;18,535;12,555;38,044;67,53;0,559;0,765
2108256;22,987;16,547;72,645;92,311;0,406;0,616
2108306;15,467;10,52;63,648;89,585;0,456;0,694
2108405;19,097;13,306;67,478;89,761;0,451;0,725
2108454;37,806;24,563;68,956;88,212;0,461;0,6
2108504;22,974;15,489;57,56;81,604;0,515;0,772
2108603;21,292;14,403;55,05;80,666;0,513;0,777
2108702;16,997;12,067;65,22;88,975;0,443;0,591
2108801;15,744;11,184;71,189;90,893;0,431;0,667
2108900;17,717;13,062;55,942;85,591;0,444;0,686
2109007;24,286;15,55;34,865;62,545;0,604;0,78
2109056;11,774;8,653;54,819;81,931;0,47;0,807
2109106;19,994;13,178;39,698;70,429;0,568;0,727
2109205;23,212;16,268;79,719;93,174;0,384;0,621
2109239;8,384;6,794;56,752;80,928;0,467;0,703
2109270;11,898;9,1;63,514;85,842;0,435;0,644
2109304;21,636;14,187;79,928;93,431;0,409;0,669
2109403;11,293;8,416;67,273;89,108;0,449;0,675
2109452;10,88;8,045;42,478;78,542;0,495;0,756
2109502;32,431;21,029;62,618;84,247;0,492;0,736
2109551;22,602;16,61;55,788;80,868;0,516;0,748
2109601;32,891;23,201;59,679;83,483;0,481;0,756
2109700;157,021;98,393;70,833;87,836;0,465;0,722
2109759;18,951;14,246;66,01;85,673;0,454;0,623
2109809;27,982;17,573;54,94;79,767;0,515;0,726
2109908;21,209;13,814;36,125;65,931;0,579;0,784
2110005;19,035;12,695;61,2;86,413;0,472;0,61
2110039;15,776;11,181;57,943;87,786;0,457;0,692
2110104;25,409;16,194;65,974;88,895;0,467;0,641
2110203;49,618;32,669;62,79;85,176;0,475;0,708
2110237;22,852;16,454;76,31;94,187;0,382;0,542
2110278;27,61;19,51;82,049;95,568;0,367;0,652
2110302;13,816;9,388;58,089;85,272;0,483;0,638
2110401;213,699;146,396;76,993;93,17;0,388;0,661
2110500;16,699;12,029;56,535;84,336;0,474;0,741
2110609;51,073;35,882;76,086;92,22;0,418;0,67
2110658;14,986;11,086;60,223;84,647;0,474;0,735
2110708;16,594;11,226;43,867;76,31;0,525;0,683
2110807;14,264;10,501;59,038;83,873;0,473;0,695
2110856;21,118;13,851;49,474;77,737;0,527;0,738
2110906;32,287;23,48;73,453;88,5;0,428;0,613
2111003;98,526;55,454;79,592;94,221;0,489;0,725
2111029;26,979;19,67;62,477;83,772;0,433;0,513
2111052;31,266;21,147;55,403;77,791;0,509;0,801
2111078;13,186;9,455;70,124;92,409;0,427;0,587
2111102;28,529;19,137;52,307;73,113;0,541;0,741
2111201;25,579;16,683;36,606;65,824;0,585;0,851
2111250;12,215;8,26;57,131;88,766;0,46;0,683
2111300;32,17;20,69;23,514;50,599;0,696;0,901
2111409;26,454;19,527;67,58;87,635;0,425;0,61
2111508;25,075;17,067;52,453;79,024;0,498;0,67
2111532;16,039;10,43;49,24;81,153;0,522;0,701
2111573;23,722;17,658;60,253;85,777;0,46;0,768
2111607;94,721;56,556;64,711;81,233;0,546;0,751
2111631;14,676;10,439;67,386;90,09;0,419;0,653
2111672;26,456;20,616;74,725;92,082;0,39;0,586
2111706;22,349;15,628;70,299;90,26;0,446;0,701
2111722;34,372;24,49;70,29;90,294;0,416;0,584
2111748;15,04;10,753;59,86;86,984;0,47;0,605
2111763;15,927;11,869;55,166;82,722;0,471;0,685
2111789;11,851;9,052;70,828;91,865;0,415;0,716
2111805;25,565;17,59;58,582;80,248;0,495;0,749
2111904;28,313;20,443;68,593;87,244;0,449;0,734
2111953;20,167;13,837;63,826;84,721;0,477;0,681
2112001;15,442;11,402;63,079;83,269;0,481;0,771
2112100;32,314;21,961;70,386;89,949;0,431;0,59
2112209;15,111;10,421;38,079;70,717;0,548;0,761
2112233;9,556;7,157;41,011;77,168;0,51;0,721
2112274;71,342;52,303;70,149;88,919;0,412;0,629
2112308;19,304;13,611;62,361;84,725;0,468;0,678
2112407;19,805;13,571;71,062;89,056;0,437;0,68
2112456;34,121;24,908;64,963;88,161;0,427;0,603
2112506;27,461;18,795;67,828;86,241;0,454;0,641
2112605;379,493;241,3;76,377;91,082;0,417;0,678
2112704;13,174;9,147;72,161;92,338;0,431;0,598
2112803;21,339;14,168;59,323;84,691;0,493;0,777
2112852;16,027;11,017;52,181;83,389;0,497;0,676
2112902;21,269;14,595;55,857;79,869;0,509;0,71
2113009;20,441;13,516;54,399;80,248;0,511;0,665
2114007;18,556;12,186;49,135;81,752;0,498;0,689
3100104;14,023;9,468;12,599;44,543;0,654;0,826
3100203;19,246;12,207;12,665;40,767;0,697;0,845
3100302;14,451;10,117;28,767;55,458;0,622;0,788
3100401;16,797;10,929;37,043;70,721;0,593;0,803
3100500;19,271;13,144;51,508;80,727;0,525;0,738
3100609;31,933;19,177;48,063;77,137;0,572;0,653
3100708;10,367;7,798;6,015;28,925;0,705;0,855
3100807;10,772;7,655;9,775;40,883;0,654;0,771
3100906;36,729;23,266;58,481;78,34;0,564;0,721
3101003;28,455;19,922;55,507;77,386;0,529;0,673
3101102;19,483;12,978;28,879;62,791;0,639;0,767
3101201;25,421;15,546;24,535;58,664;0,663;0,783
3101300;16,977;11,752;30,31;61,707;0,618;0,784
3101409;6,857;5,037;5,892;29,473;0,669;0,781
3101508;19,147;12,945;13,882;38,434;0,722;0,873
3101607;18,477;11,891;5,496;20,787;0,754;0,869
3101631;14,864;9,525;32,366;58,656;0,603;0,8
3101706;35,996;22,204;40,185;72,495;0,623;0,72
3101805;14,954;9,74;28,788;63,133;0,607;0,753
3101904;11,646;8,092;5,94;25,257;0,688;0,839
3102001;12,343;8,212;11,269;36,333;0,655;0,799
3102050;23,909;14,226;8,211;40,966;0,704;0,763
3102100;23,342;15,378;46,384;70,201;0,577;0,758
3102209;22,68;15,197;39,978;71,913;0,565;0,719
3102308;16,23;10,697;25,982;57,856;0,621;0,819
3102407;69,207;40,377;60,355;84,615;0,541;0,716
3102506;16,781;10,815;39,621;75,187;0,569;0,748
3102605;16,221;10,392;5,28;19,519;0,755;0,83
3102704;15,705;11,106;59,38;85,381;0,497;0,692
3102803;25,337;15,891;24,317;55,306;0,663;0,811
3102852;25,027;15,05;38,031;74,566;0,581;0,669
3102902;13,961;9,735;25,614;56,76;0,628;0,805
3103009;17,096;11,282;38,224;73,923;0,569;0,765
3103108;15,901;10,594;19,011;51,139;0,658;0,814
3103207;12,666;8,488;19,816;54,865;0,633;0,875
3103306;14,23;10,49;31,357;66,977;0,597;0,771
3103405;31,22;19,96;44,274;68,155;0,587;0,762
3103504;16,667;11,133;8,068;25,341;0,737;0,894
3103603;8,486;6,215;18,396;51,41;0,617;0,834
3103702;14,368;9,843;49,541;76,027;0,536;0,684
3103751;20,34;12,77;10,733;29,031;0,701;0,849
3103801;16,852;11,642;11,053;32,437;0,701;0,816
3103900;8,638;6,29;7,988;34,792;0,668;0,81
3104007;18,478;12,161;6,769;24,087;0,745;0,901
3104106;10,264;7,173;9,615;30,784;0,681;0,832
3104205;12,351;8,597;5,831;26,265;0,705;0,894
3104304;13,617;8,913;3,817;21,742;0,713;0,841
3104403;13,749;9,513;19,378;58,628;0,632;0,814
3104452;26,256;19,577;53,474;77,796;0,504;0,708
3104502;53,338;33,28;54,409;77,749;0,576;0,814
3104601;12,15;8,342;9,777;38,416;0,672;0,833
3104700;26,077;16,343;48,28;81,468;0,56;0,727
3104809;12,989;8,925;32,701;70,141;0,592;0,79
3104908;14,321;9,462;17,772;49,887;0,654;0,787
3105004;15,742;10,825;30,517;61,243;0,617;0,842
3105103;11,707;8,318;8,333;28,894;0,692;0,86
3105202;21,394;14,357;57,7;84,724;0,518;0,665
3105301;8,554;6,233;8,829;25,522;0,694;0,812
3105400;12,225;8,966;22,242;48,845;0,634;0,894
3105509;13,006;8,681;30,856;66,465;0,59;0,77
3105608;19,998;13,732;15,013;38,149;0,716;0,888
3105707;16,22;11,134;43,826;78,649;0,57;0,795
3105905;17,756;12,194;21,944;52,882;0,646;0,852
3106002;12,147;9,083;22,656;53,297;0,623;0,885
3106101;12,235;8,562;23,925;57,602;0,618;0,812
3106200;27,22;18,52;8,824;24,036;0,828;0,929
3106309;14,136;9,687;23,295;56,611;0,594;0,81
3106408;13,684;9,304;21,068;56,352;0,617;0,825
3106507;14,756;11,045;41,478;71,812;0,528;0,75
3106606;25,028;16,385;58,261;82,991;0,523;0,644
3106655;26,569;20,111;57,48;82,822;0,492;0,716
3106705;15,029;10,507;17,011;39,854;0,66;0,885
3106804;9,938;7,304;34,609;70,498;0,558;0,766
3106903;18,554;12,961;12,159;31,516;0,739;0,873
3107000;10,723;7,791;20,156;47,82;0,637;0,81
3107109;20,135;12,663;12,18;32,815;0,713;0,832
3107208;15,051;10,381;22,464;52,361;0,639;0,758
3107307;17,908;12,085;32,317;61,83;0,602;0,815
3107406;18,251;12,063;6,62;29,115;0,729;0,883
3107505;14,133;9,74;21,641;55,425;0,631;0,842
3107604;29,689;17,08;8,693;33,717;0,72;0,821
3107703;23,266;14,295;33,263;68,01;0,617;0,808
3107802;13,228;9,287;38,453;74,174;0,558;0,744
3107901;40,093;22,943;25,616;53,619;0,683;0,786
3108008;19,726;12,998;18,586;51,625;0,664;0,815
3108107;12,545;8,445;22,584;57,453;0,614;0,808
3108206;22,369;14,468;28,667;60,968;0,636;0,838
3108255;;;76,137;90,319;0,423;0,662
3108305;15,422;9,983;6,29;28,602;0,711;0,852
3108404;20,64;12,817;5,306;28,367;0,745;0,792
3108503;29,517;21,435;61,382;84,161;0,489;0,774
3108552;28,811;18,179;28,314;59,971;0,644;0,831
3108602;25,996;17,228;51,209;75,897;0,564;0,781
3108701;23,027;15,6;48,855;78,043;0,551;0,814
3108800;27,273;18,541;53,655;80,202;0,542;0,739
3108909;26,656;16,316;23,306;48,97;0,681;0,817
3109006;18,628;12,164;11,045;36,146;0,71;0,879
3109105;16,779;11,037;10,861;42,621;0,685;0,808
3109204;29,084;18,076;43,139;75,032;0,608;0,758
3109253;30,37;20,779;49,357;78,179;0,541;0,711
3109303;50,237;29,368;31,54;57,854;0,687;0,789
3109402;16,303;11,224;44,012;71,755;0,548;0,777
3109451;15,825;10,736;26,268;56,515;0,634;0,785
3109501;20,915;12,781;9,051;28,523;0,74;0,781
3109600;12,213;8,87;11,224;35,619;0,681;0,904
3109709;11,145;7,668;11,215;37,424;0,658;0,842
3109808;14,386;9,316;12,636;39,264;0,667;0,804
3109907;19,574;12,399;18,342;43,706;0,68;0,881
3110004;22,031;13,928;20,065;45,57;0,7;0,888
3110103;15,676;10,347;18,208;48,47;0,647;0,761
3110202;15,936;10,777;33,362;66,706;0,599;0,799
3110301;17,07;11,477;11,138;33,277;0,703;0,817
3110400;8,486;6,273;26,618;61,327;0,574;0,764
3110509;14,211;9,976;8,487;29,052;0,698;0,8
3110608;12,279;8,734;9,741;27,15;0,699;0,858
3110707;20,456;12,993;11,717;41,596;0,703;0,833
3110806;15,802;10,438;38,15;67,74;0,59;0,778
3110905;17,246;11,292;10,841;29,382;0,713;0,835
3111002;12,622;8,605;9,86;34,52;0,681;0,806
3111101;20,76;13,449;12,604;37,613;0,705;0,851
3111150;35,568;26,336;62,644;84,064;0,5;0,749
3111200;14,485;9,679;8,757;31,247;0,69;0,83
3111309;11,93;7,9;10,523;38,989;0,657;0,803
3111408;14,196;9,743;8,694;36,885;0,683;0,821
3111507;14,511;9,378;8,963;30,987;0,695;0,837
3111606;13,774;9,021;9,107;32,208;0,665;0,798
3111705;22,781;15,106;41,278;72,292;0,578;0,771
3111804;13,412;8,97;9,871;37,182;0,657;0,817
3111903;10,63;7,493;12,519;41,677;0,649;0,785
3112000;14,174;9,054;11,747;34,692;0,664;0,749
3112059;46,853;30,482;50,708;78,638;0,55;0,775
3112109;12,052;8,227;15,421;43,211;0,644;0,706
3112208;8,883;6,798;40,131;73,939;0,568;0,817
3112307;20,15;13,258;27,679;62,365;0,603;0,724
3112406;14,164;9,304;7,589;34,218;0,68;0,808
3112505;9,958;7,06;13,174;45,77;0,64;0,851
3112604;22,203;14,268;17,477;42,724;0,687;0,824
3112653;9,335;7,198;34,804;69,998;0,575;0,733
3112703;18,981;12,372;46,225;78,106;0,544;0,752
3112802;7,752;5,775;5,805;22,383;0,696;0,841
3112901;22,084;13,826;26,5;56,658;0,636;0,777
3113008;17,026;11,535;56,623;83,525;0,513;0,698
3113107;12,944;9,158;45,775;79,455;0,554;0,812
3113206;17,139;11,938;30,36;62,033;0,618;0,871
3113305;25,03;15,699;14,695;36,398;0,736;0,829
3113404;23,628;15,368;20,259;46,379;0,689;0,822
3113503;18,148;12,321;33,576;69,758;0,561;0,768
3113602;13,614;9,376;10,562;35,298;0,68;0,805
3113701;26,119;16,572;38,63;71,347;0,624;0,724
3113800;20,134;12,955;39,059;70,191;0,577;0,773
3113909;15,553;9,979;12,885;42,616;0,657;0,789
3114006;14,983;9,587;9,723;37,927;0,682;0,825
3114105;17,072;10,764;16,364;48,027;0,655;0,792
3114204;9,348;6,788;7,899;34,942;0,653;0,869
3114303;19,492;11,999;8,128;33,51;0,712;0,836
3114402;32,803;18,616;4,562;28,377;0,669;0,831
3114501;19,946;12,963;19,03;46,701;0,664;0,8
3114550;20,939;12,968;11,075;36,707;0,693;0,795
3114600;22,194;14,595;21,923;51,946;0,642;0,846
3114709;6,465;5,005;9,739;36,944;0,657;0,854
3114808;10,735;7,654;24,351;59,061;0,605;0,789
3114907;11,824;8,606;30,305;62,416;0,6;0,824
3115003;12,396;8,75;9,336;33,563;0,683;0,865
3115102;14,184;9,884;6,505;32,163;0,699;0,814
3115201;9,82;7,104;30,289;64,604;0,589;0,824
3115300;16,538;11,122;11,075;36,855;0,698;0,879
3115359;9,747;7,632;25,128;54,281;0,617;0,838
3115409;18,222;12,212;47,524;80,59;0,527;0,782
3115458;20,645;13,03;61,733;87,601;0,51;0,676
3115474;14,021;11,156;65,006;84,667;0,474;0,67
3115508;17,694;12,047;16,007;37,709;0,705;0,871
3115607;8,363;6,853;20,453;50,646;0,633;0,796
3115706;18,264;12,146;35,366;68,339;0,612;0,736
3115805;41,505;23,335;12,769;42,476;0,726;0,781
3115904;15,029;9,831;18,735;52,464;0,64;0,804
3116001;9,419;7,162;21,369;49,99;0,614;0,771
3116100;9,284;7,325;34,718;72,812;0,522;0,672
3116159;45,824;26,469;56,226;82,284;0,558;0,757
3116209;13,57;9,846;20,042;55,555;0,627;0,772
3116308;26,765;19,063;58,404;82,568;0,522;0,748
3116407;9,913;7,073;9,486;40,335;0,65;0,797
3116506;12,573;8,855;43,87;73,437;0,554;0,801
3116605;10,753;7,464;6,876;34,737;0,661;0,835
3116704;12,593;8,805;20,095;52,707;0,638;0,821
3116803;27,467;17,606;54,403;81,089;0,555;0,716
3116902;13,209;9,187;9,339;27,57;0,732;0,84
3117009;31,923;22,484;68,8;89,71;0,46;0,721
3117108;15,461;10,194;4,59;27,193;0,724;0,811
3117207;9,98;6,873;15,566;44,83;0,631;0,82
3117306;17,998;11,81;10,89;35,923;0,715;0,815
3117405;15,232;10,251;25,315;58,692;0,62;0,741
3117504;30,388;19,468;54,822;81,49;0,559;0,744
3117603;12,268;8,498;14,444;49,591;0,623;0,815
3117702;20,418;12,733;14,105;48,385;0,686;0,779
3117801;11,415;7,861;11,287;33,444;0,666;0,821
3117836;195,003;139,126;70,631;86,378;0,451;0,731
3117876;8,962;6,721;16,606;37,973;0,65;0,873
3117900;11,746;8,267;12,014;38,889;0,661;0,773
3118007;15,467;10,811;17,439;41,534;0,674;0,92
3118106;45,292;27,277;58,296;82,045;0,545;0,707
3118205;23,53;14,12;7,611;34,781;0,707;0,86
3118304;15,665;10,983;16,515;36,485;0,7;0,909
3118403;25,886;16,512;24,017;57,563;0,664;0,774
3118502;8,003;6,213;25,336;59,979;0,604;0,763
3118601;13,46;9,644;11,25;28,479;0,714;0,901
3118700;12,753;8,562;11,267;36,278;0,655;0,812
3118809;26,643;16,516;50,946;78,986;0,566;0,763
3118908;19,319;12,54;24,891;61,147;0,636;0,832
3119005;9,399;6,29;13,733;42,578;0,633;0,814
3119104;20,342;13,368;27,562;60,935;0,65;0,827
3119203;19,389;12,432;39,654;71,424;0,596;0,785
3119302;15,407;10,388;7,939;34,714;0,695;0,838
3119401;17,738;12,282;17,703;36,37;0,701;0,88
3119500;16,796;11,428;54,508;81,576;0,533;0,775
3119609;13,822;9,576;17,757;47,813;0,643;0,805
3119708;8,867;6,273;21,096;54,986;0,609;0,847
3119807;14,999;9,883;8,797;36,472;0,672;0,796
3119906;12,625;9,216;21,992;53,658;0,639;0,821
3119955;8,814;6,241;14,436;41,8;0,63;0,805
3120003;11,993;9,326;38,014;69;0,569;0,723
3120102;19,121;12,52;40,704;69,488;0,589;0,819
3120151;48,245;30,801;64,743;85,962;0,525;0,611
3120201;13,416;8,602;9,257;34,388;0,685;0,781
3120300;15,85;11,842;57,047;83,244;0,48;0,715
3120409;13,794;9,134;26,101;56,106;0,615;0,837
3120508;17,008;10,923;23,756;55,111;0,632;0,807
3120607;13,424;9,162;19,961;57,927;0,622;0,767
3120706;12,295;8,318;7,947;34,327;0,701;0,881
3120805;15,991;10,427;18,749;49,247;0,648;0,825
3120839;11,376;8,373;27,033;62,923;0,604;0,727
3120870;21,148;14,297;48,841;79,4;0,515;0,704
3120904;17,189;11,493;18,447;47,968;0,665;0,843
3121001;29,83;20,41;53,273;79,278;0,547;0,847
3121100;16,629;10,876;25,797;60,75;0,624;0,822
3121209;12,516;8,383;10,39;35,344;0,664;0,807
3121258;9,811;6,961;9,316;29,391;0,666;0,814
3121308;13,236;9,076;20,083;52,637;0,638;0,8
3121407;21,773;14,493;43,34;75,645;0,564;0,785
3121506;28,574;18,667;50,227;79,394;0,565;0,736
3121605;28,617;19,193;29,123;54,281;0,668;0,848
3121704;24,289;18,264;57,501;84,209;0,518;0,746
3121803;14,514;9,881;34,876;69,607;0,577;0,809
3121902;14,847;9,854;24,564;61,626;0,611;0,802
3122009;12,898;8,817;22,808;54,757;0,616;0,737
3122108;32,072;19,022;30,999;65,182;0,639;0,755
3122207;28,204;18,907;45,964;75,045;0,571;0,784
3122306;15,26;10,406;7,6;21,85;0,74;0,912
3122355;26,449;17,97;40,809;70,68;0,556;0,729
3122405;10,02;6,985;10,816;39,734;0,659;0,792
3122454;13,315;9,428;48,536;80,682;0,537;0,682
3122470;17,227;11,406;28,419;62,549;0,622;0,832
3122504;21,879;14,06;24,334;55,311;0,647;0,795
3122603;27,52;18,961;50,923;79,252;0,567;0,737
3122702;15,919;10,355;23,183;56,899;0,636;0,859
3122801;8,554;6,543;25,439;58,542;0,603;0,797
3122900;13,174;9,193;18,643;46,774;0,649;0,821
3123007;11,401;7,909;13,069;41,203;0,647;0,834
3123106;16,495;11,161;48,596;74,677;0,557;0,745
3123205;17,385;11,706;12,391;45,333;0,687;0,819
