cod_mun;cod_escola;zona;esfera;horas_aula_9ano_2019
1100122;11013508;Rural;Municipal;4
1100122;11013737;Urbana;Privada;4,4
1100122;11013907;Urbana;Estadual;4
1100122;11014156;Urbana;Estadual;4
1100122;11014172;Urbana;Estadual;4
1100122;11014300;Urbana;Estadual;4
1100122;11014431;Urbana;Estadual;4
1100122;11014555;Urbana;Estadual;4
1100122;11014636;Urbana;Estadual;4
1100122;11014806;Urbana;Estadual;4
1100122;11014830;Urbana;Estadual;4
1100122;11015144;Urbana;Estadual;4
1100122;11015500;Urbana;Estadual;4
1100122;11015608;Urbana;Estadual;4
1100122;11015616;Urbana;Estadual;4,3
1100122;11015624;Urbana;Estadual;4
1100122;11015632;Urbana;Estadual;4
1100122;11015667;Urbana;Estadual;4
1100122;11015683;Urbana;Estadual;4
1100122;11016094;Urbana;Estadual;4
1100122;11037660;Urbana;Privada;4,4
1100122;11037822;Rural;Estadual;4
1100122;11037890;Rural;Estadual;4
1100122;11038055;Rural;Estadual;3,5
1100122;11043849;Rural;Municipal;7,5
1100122;11044853;Rural;Municipal;4
1100122;11045663;Rural;Municipal;7,5
1100122;11045698;Rural;Municipal;9,5
1100122;11049294;Urbana;Privada;4
1100130;11008008;Urbana;Estadual;4
1100130;11009080;Urbana;Estadual;4
1100130;11049812;Urbana;Estadual;4
1100130;11049901;Urbana;Privada;5
1100148;11021918;Rural;Municipal;4,3
1100148;11022108;Rural;Municipal;4,3
1100148;11022205;Urbana;Estadual;4,3
1100148;11022230;Urbana;Estadual;4,4
1100148;11038624;Urbana;Municipal;4,3
1100148;11059800;Rural;Municipal;4,3
1100155;11016248;Urbana;Privada;4,5
1100155;11016507;Urbana;Estadual;4,3
1100155;11017201;Urbana;Estadual;4,3
1100155;11017422;Urbana;Estadual;4
1100155;11017430;Urbana;Estadual;4,3
1100155;11017775;Urbana;Estadual;4,3
1100155;11017791;Urbana;Estadual;4,3
1100189;11031549;Urbana;Estadual;4
1100189;11031700;Urbana;Estadual;4
1100189;11032510;Urbana;Estadual;4
1100189;11033070;Urbana;Estadual;4
1100189;11037334;Urbana;Estadual;10
1100189;11042621;Rural;Municipal;4,3
1100189;11048026;Rural;Municipal;4
1100189;11050268;Urbana;Municipal;4
1100205;11000058;Urbana;Privada;4,5
1100205;11000171;Urbana;Privada;4,5
1100205;11000198;Urbana;Privada;4,5
1100205;11000244;Urbana;Privada;4,6
1100205;11000252;Urbana;Privada;5,3
1100205;11000260;Urbana;Estadual;4,5
1100205;11000317;Urbana;Estadual;4
1100205;11000325;Urbana;Privada;4,5
1100205;11000350;Urbana;Privada;5,3
1100205;11000376;Urbana;Estadual;4,9
1100205;11000384;Urbana;Estadual;4,3
1100205;11000457;Urbana;Estadual;4,3
1100205;11000465;Rural;Municipal;4,3
1100205;11000554;Urbana;Estadual;4,3
1100205;11000597;Urbana;Estadual;5,3
1100205;11000708;Urbana;Estadual;4,2
1100205;11000848;Urbana;Estadual;4,3
1100205;11000856;Urbana;Estadual;4,3
1100205;11000864;Rural;Municipal;4,3
1100205;11000880;Urbana;Privada;4,5
1100205;11000910;Rural;Privada;4,9
1100205;11000937;Urbana;Estadual;4,3
1100205;11000970;Urbana;Estadual;4,3
1100205;11001011;Rural;Municipal;4
1100205;11001046;Urbana;Estadual;4,3
1100205;11001119;Urbana;Estadual;4,3
1100205;11001135;Urbana;Estadual;4,3
1100205;11001143;Urbana;Estadual;4,3
1100205;11001160;Urbana;Estadual;4,3
1100205;11001178;Urbana;Estadual;4
1100205;11001186;Rural;Municipal;5,3
1100205;11001240;Urbana;Estadual;4,3
