municipio;pib_2020
Santa Rosa do Piauí (PI);41807,69
Santo Antônio de Lisboa (PI);64208,3
Santo Antônio dos Milagres (PI);15515,27
Santo Inácio do Piauí (PI);33703,72
São Braz do Piauí (PI);33970,78
São Félix do Piauí (PI);29274,78
São Francisco de Assis do Piauí (PI);48124,66
São Francisco do Piauí (PI);52777,55
São Gonçalo do Gurguéia (PI);48080,95
São Gonçalo do Piauí (PI);45180,03
São João da Canabrava (PI);41460,53
São João da Fronteira (PI);49687,05
São João da Serra (PI);52721,1
São João da Varjota (PI);31476,29
São João do Arraial (PI);56456,75
São João do Piauí (PI);341749,96
São José do Divino (PI);50643,59
São José do Peixe (PI);36032,84
São José do Piauí (PI);61137,68
São Julião (PI);51292,73
São Lourenço do Piauí (PI);35771,67
São Luis do Piauí (PI);21883,78
São Miguel da Baixa Grande (PI);23457,09
São Miguel do Fidalgo (PI);25430,45
São Miguel do Tapuio (PI);140180,2
São Pedro do Piauí (PI);115499,67
São Raimundo Nonato (PI);493884,34
Sebastião Barros (PI);38317,58
Sebastião Leal (PI);107496,48
Sigefredo Pacheco (PI);69426,48
Simões (PI);254192,76
Simplício Mendes (PI);179101,24
Socorro do Piauí (PI);35529,24
Sussuapara (PI);65471,12
Tamboril do Piauí (PI);25870,74
Tanque do Piauí (PI);28690,53
Teresina (PI);22017655,09
União (PI);399299,82
Uruçuí (PI);1467098,37
Valença do Piauí (PI);260103,84
Várzea Branca (PI);38899,68
Várzea Grande (PI);35505,03
Vera Mendes (PI);27063,7
Vila Nova do Piauí (PI);30448,2
Wall Ferraz (PI);33893,91
Abaiara (CE);94504,55
Acarape (CE);142487,45
Acaraú (CE);709694,3
Acopiara (CE);462783,7
Aiuaba (CE);129418,39
Alcântaras (CE);81717,35
Altaneira (CE);58441,56
Alto Santo (CE);183084,59
Amontada (CE);517557,6
Antonina do Norte (CE);64425,24
Apuiarés (CE);113911,19
Aquiraz (CE);2632275,99
Aracati (CE);1402880,3
Aracoiaba (CE);229964,21
Ararendá (CE);84741,39
Araripe (CE);170101,55
Aratuba (CE);125502,16
Arneiroz (CE);58806,18
Assaré (CE);196620,39
Aurora (CE);209652,65
Baixio (CE);55437,9
Banabuiú (CE);183573,05
Barbalha (CE);1054404,53
Barreira (CE);183383,35
Barro (CE);194469,25
Barroquinha (CE);110406,1
Baturité (CE);390699,31
Beberibe (CE);872924,1
Bela Cruz (CE);268201,5
Boa Viagem (CE);469745,04
Brejo Santo (CE);675862,25
Camocim (CE);719803,85
Campos Sales (CE);267529,38
Canindé (CE);888695,48
Capistrano (CE);154960,7
Caridade (CE);154557,46
Cariré (CE);163469,87
Caririaçu (CE);210027,95
Cariús (CE);144572,05
Carnaubal (CE);131337,56
Cascavel (CE);919513,93
Catarina (CE);119006,44
Catunda (CE);113119,12
Caucaia (CE);6919758,04
Cedro (CE);205707,93
Chaval (CE);95572,09
Choró (CE);124591,62
Chorozinho (CE);287727,74
Coreaú (CE);175962,77
Crateús (CE);851554,47
Crato (CE);1759302,94
Croatá (CE);179332,43
Cruz (CE);285860,26
Deputado Irapuan Pinheiro (CE);73571,05
Ererê (CE);57682,84
Eusébio (CE);3199866,87
Farias Brito (CE);188460,61
Forquilha (CE);226163,81
Fortaleza (CE);67412733,42
Fortim (CE);205234,59
Frecheirinha (CE);268413,34
General Sampaio (CE);69856,12
Graça (CE);105976,43
Granja (CE);395075,4
Granjeiro (CE);45091,82
Groaíras (CE);87585,47
Guaiúba (CE);203710,16
Guaraciaba do Norte (CE);558863,24
Guaramiranga (CE);75259,23
Hidrolândia (CE);153224,53
Horizonte (CE);1699470,19
Ibaretama (CE);108689,59
Ibiapina (CE);312452,78
Ibicuitinga (CE);101032,02
Icapuí (CE);358659,18
Icó (CE);613466,08
Iguatu (CE);1697612,87
Independência (CE);248160,03
Ipaporanga (CE);87948,92
Ipaumirim (CE);124315,53
Ipu (CE);446105,41
Ipueiras (CE);279729,25
Iracema (CE);149406,85
Irauçuba (CE);188549,19
Itaiçaba (CE);68529,85
Itaitinga (CE);723022,85
Itapajé (CE);640102,41
Itapipoca (CE);1677743,13
Itapiúna (CE);145852,02
Itarema (CE);615585,59
Itatira (CE);136892,79
Jaguaretama (CE);170424,02
Jaguaribara (CE);126777,52
Jaguaribe (CE);510828,83
Jaguaruana (CE);474571,55
Jardim (CE);230924,19
Jati (CE);112661,52
Jijoca de Jericoacoara (CE);493904,72
Juazeiro do Norte (CE);4873357,21
Jucás (CE);244455,67
Lavras da Mangabeira (CE);272569,59
Limoeiro do Norte (CE);1046115,91
Madalena (CE);141470,71
Maracanaú (CE);9748584,61
Maranguape (CE);1534564,42
Marco (CE);333543,41
Martinópole (CE);80284,85
Massapê (CE);295163,79
Mauriti (CE);420990,25
Meruoca (CE);110636,34
Milagres (CE);240865,52
Milhã (CE);140550,08
Miraíma (CE);91793,14
Missão Velha (CE);471629,87
Mombaça (CE);342750,68
Monsenhor Tabosa (CE);141228,2
Morada Nova (CE);1009595,87
Moraújo (CE);68690,59
Morrinhos (CE);162086,47
Mucambo (CE);107449,17
Mulungu (CE);106688,35
Nova Olinda (CE);145586,87
Nova Russas (CE);299163,99
Novo Oriente (CE);240510,05
Ocara (CE);190844,12
Orós (CE);185020,17
Pacajus (CE);1146881,22
Pacatuba (CE);1024602,34
Pacoti (CE);126787,76
Pacujá (CE);51039,02
Palhano (CE);89684,65
Palmácia (CE);93907,58
Paracuru (CE);505810,75
Paraipaba (CE);440566,33
Parambu (CE);240113,77
Paramoti (CE);107579,19
Pedra Branca (CE);333026,2
Penaforte (CE);112812,51
Pentecoste (CE);494743,61
Pereiro (CE);371529,99
Pindoretama (CE);246159,57
Piquet Carneiro (CE);135230,15
Pires Ferreira (CE);66441,98
Poranga (CE);89222,66
Porteiras (CE);155560,1
Potengi (CE);85165,08
Potiretama (CE);64370,89
Quiterianópolis (CE);162633,24
Quixadá (CE);1005661,17
Quixelô (CE);142612,59
Quixeramobim (CE);1228231,05
Quixeré (CE);401030,74
Redenção (CE);342538,45
Reriutaba (CE);176308,43
Russas (CE);1100877,77
Saboeiro (CE);128724,32
Salitre (CE);127203,92
Santana do Acaraú (CE);230044,8
Santana do Cariri (CE);134318,62
Santa Quitéria (CE);502581,35
São Benedito (CE);543713,98
São Gonçalo do Amarante (CE);3759451,36
São João do Jaguaribe (CE);94721,22
São Luís do Curu (CE);110184,58
Senador Pompeu (CE);315193,82
Senador Sá (CE);52153,34
Sobral (CE);4579748,98
Solonópole (CE);219036,94
Tabuleiro do Norte (CE);368274,01
Tamboril (CE);239925,07
Tarrafas (CE);68794,29
Tauá (CE);661894,36
Tejuçuoca (CE);132702,69
Tianguá (CE);1463955,4
Trairi (CE);784874,75
Tururu (CE);115987,44
Ubajara (CE);580854,55
Umari (CE);56731,59
Umirim (CE);158147,41
Uruburetama (CE);295583,27
Uruoca (CE);177287,56
Varjota (CE);335950,98
Várzea Alegre (CE);397791,46
Viçosa do Ceará (CE);482347,47
Acari (RN);130731,52
Açu (RN);1241657,17
Afonso Bezerra (RN);101971,97
Água Nova (RN);27920,06
Alexandria (RN);145449,36
Almino Afonso (RN);40213,92
Alto do Rodrigues (RN);488265,59
Angicos (RN);146064,74
Antônio Martins (RN);58393,18
Apodi (RN);514269,83
Areia Branca (RN);736832,87
Arês (RN);309640,26
Augusto Severo (RN);98243,39
Baía Formosa (RN);162875,69
Baraúna (RN);656247,9
Barcelona (RN);40465,28
Bento Fernandes (RN);52889,74
Bodó (RN);251731,29
Bom Jesus (RN);89038,21
Brejinho (RN);163470,29
Caiçara do Norte (RN);80636,56
Caiçara do Rio do Vento (RN);38018,37
Caicó (RN);1280703,36
Campo Redondo (RN);93638,92
Canguaretama (RN);560901,38
Caraúbas (RN);377473,83
Carnaúba dos Dantas (RN);89623,15
Carnaubais (RN);174678,37
Ceará-Mirim (RN);899286,44
Cerro Corá (RN);145539,51
Coronel Ezequiel (RN);46769,09
Coronel João Pessoa (RN);43355,61
Cruzeta (RN);110959,65
Currais Novos (RN);758989,37
Doutor Severiano (RN);64325,42
Parnamirim (RN);5595001,21
Encanto (RN);50036,41
Equador (RN);64574,75
Espírito Santo (RN);82178,8
Extremoz (RN);451697,08
Felipe Guerra (RN);104243,93
Fernando Pedroza (RN);34313,11
Florânia (RN);87485,33
Francisco Dantas (RN);28825,58
Frutuoso Gomes (RN);38048,74
Galinhos (RN);96716,73
Goianinha (RN);410084,01
Governador Dix-Sept Rosado (RN);301092,43
Grossos (RN);165365,68
Guamaré (RN);1734453,55
Ielmo Marinho (RN);112827,47
Ipanguaçu (RN);150604,38
Ipueira (RN);28182,19
Itajá (RN);87594,1
Itaú (RN);58409,39
Jaçanã (RN);69031,04
Jandaíra (RN);76005,53
Janduís (RN);85590,02
Januário Cicco (RN);75403,47
Japi (RN);42878,65
Jardim de Angicos (RN);29347,93
Jardim de Piranhas (RN);148624,02
Jardim do Seridó (RN);178255,64
João Câmara (RN);1045933,42
João Dias (RN);24047,69
José da Penha (RN);57240,16
Jucurutu (RN);249294,37
Jundiá (RN);37215,16
Lagoa d'Anta (RN);60127,2
Lagoa de Pedras (RN);64991,2
Lagoa de Velhos (RN);35933,85
Lagoa Nova (RN);323507,82
Lagoa Salgada (RN);77422,99
Lajes (RN);119135,84
Lajes Pintadas (RN);46152,95
Lucrécia (RN);51624,76
Luís Gomes (RN);78464,61
Macaíba (RN);1679067,98
Macau (RN);791334,3
Major Sales (RN);40024,59
Marcelino Vieira (RN);70674,59
Martins (RN);83496,43
Maxaranguape (RN);134894,69
Messias Targino (RN);88253,04
Montanhas (RN);99822,52
Monte Alegre (RN);239657,05
Monte das Gameleiras (RN);25400,12
Mossoró (RN);6926042,23
Natal (RN);24855507,37
Nísia Floresta (RN);418100,91
Nova Cruz (RN);487111,52
Olho d'Água do Borges (RN);41457,42
Ouro Branco (RN);53442,73
Paraná (RN);37121,56
Paraú (RN);43901,73
Parazinho (RN);345416,79
Parelhas (RN);377093,44
Rio do Fogo (RN);163701,26
Passa e Fica (RN);122698,92
Passagem (RN);34134,56
Patu (RN);139987,44
Santa Maria (RN);73322,38
Pau dos Ferros (RN);577753,15
Pedra Grande (RN);238442,47
Pedra Preta (RN);30014,32
Pedro Avelino (RN);61649,51
Pedro Velho (RN);143890,9
Pendências (RN);546406,34
Pilões (RN);37953,78
Poço Branco (RN);117876,45
Portalegre (RN);64364,22
Porto do Mangue (RN);160454
Serra Caiada (RN);86434,45
Pureza (RN);125799,86
Rafael Fernandes (RN);46569,6
Rafael Godeiro (RN);35739,49
Riacho da Cruz (RN);34515,01
Riacho de Santana (RN);38688,4
Riachuelo (RN);72519,88
Rodolfo Fernandes (RN);45032,94
Tibau (RN);103035,34
Ruy Barbosa (RN);35476,32
Santa Cruz (RN);653382,02
Santana do Matos (RN);132927,14
Santana do Seridó (RN);34016,26
Santo Antônio (RN);239224,73
São Bento do Norte (RN);352431,55
São Bento do Trairí (RN);42589,19
São Fernando (RN);56160,9
São Francisco do Oeste (RN);46446,8
São Gonçalo do Amarante (RN);1604260,37
São João do Sabugi (RN);69748,29
São José de Mipibu (RN);814983,26
São José do Campestre (RN);101128,52
São José do Seridó (RN);119374,79
São Miguel (RN);241088,85
São Miguel do Gostoso (RN);336420,49
São Paulo do Potengi (RN);187213,11
São Pedro (RN);63852,13
São Rafael (RN);79528,55
São Tomé (RN);103280,57
São Vicente (RN);67526,91
Senador Elói de Souza (RN);50432,8
Senador Georgino Avelino (RN);120226,33
Serra de São Bento (RN);49160,41
Serra do Mel (RN);380636,77
Serra Negra do Norte (RN);90717,03
Serrinha (RN);62893,04
Serrinha dos Pintos (RN);43901,08
Severiano Melo (RN);44379,43
Sítio Novo (RN);45878,82
Taboleiro Grande (RN);27756,8
Taipu (RN);124518,8
Tangará (RN);155862,04
Tenente Ananias (RN);98119,17
Tenente Laurentino Cruz (RN);131261,11
Tibau do Sul (RN);377682,28
Timbaúba dos Batistas (RN);35094,78
Touros (RN);680098,48
Triunfo Potiguar (RN);40761,43
Umarizal (RN);136177,77
Upanema (RN);174692,22
Várzea (RN);48790
Venha-Ver (RN);38593,86
Vera Cruz (RN);119306,78
Viçosa (RN);19218,5
Vila Flor (RN);41519,58
Água Branca (PB);82630,95
Aguiar (PB);50182,12
Alagoa Grande (PB);276393,46
Alagoa Nova (PB);325902,28
Alagoinha (PB);114964,01
Alcantil (PB);43814,51
Algodão de Jandaíra (PB);25523,65
Alhandra (PB);1881711,7
São João do Rio do Peixe (PB);191097,38
Amparo (PB);26204,14
Aparecida (PB);85432,32
Araçagi (PB);163035,41
Arara (PB);102584,73
Araruna (PB);172952,53
Areia (PB);229042,24
Areia de Baraúnas (PB);20576,62
Areial (PB);54795,23
Aroeiras (PB);146205,63
Assunção (PB);39268,75
Baía da Traição (PB);88944,07
Bananeiras (PB);234461,67
Baraúna (PB);44459,64
Barra de Santana (PB);77460,47
Barra de Santa Rosa (PB);134381,29
Barra de São Miguel (PB);65229,23
Bayeux (PB);1389899,13
Belém (PB);190066,19
Belém do Brejo do Cruz (PB);68296,73
Bernardino Batista (PB);36210,56
Boa Ventura (PB);44162,31
Boa Vista (PB);144856,94
Bom Jesus (PB);29400,61
Bom Sucesso (PB);42447,4
Bonito de Santa Fé (PB);94792,93
Boqueirão (PB);216640,67
Igaracy (PB);55277,27
Borborema (PB);58425,63
Brejo do Cruz (PB);125307,36
Brejo dos Santos (PB);55062,02
Caaporã (PB);364498,03
Cabaceiras (PB);58549,59
Cabedelo (PB);2920497,68
Cachoeira dos Índios (PB);110862,81
Cacimba de Areia (PB);34904,16
Cacimba de Dentro (PB);133814,16
Cacimbas (PB);57246,84
Caiçara (PB);57498,06
Cajazeiras (PB);1126801,26
Cajazeirinhas (PB);35437,45
Caldas Brandão (PB);72589,72
Camalaú (PB);60004,89
Campina Grande (PB);9510037,93
Capim (PB);62203,18
Caraúbas (PB);39107,16
Carrapateira (PB);27456,09
Casserengue (PB);61240,58
Catingueira (PB);45304,53
Catolé do Rocha (PB);438443,82
Caturité (PB);52260,98
Conceição (PB);180397,76
Condado (PB);60272,77
Conde (PB);808119,29
Congo (PB);51510,63
Coremas (PB);142547,29
Coxixola (PB);20793,4
Cruz do Espírito Santo (PB);151715,31
Cubati (PB);66146,61
Cuité (PB);221562,72
Cuitegi (PB);63822,02
Cuité de Mamanguape (PB);60563,83
Curral de Cima (PB);49221,96
Curral Velho (PB);23390,95
Damião (PB);42939,81
Desterro (PB);61563,93
Vista Serrana (PB);35605,67
Diamante (PB);54990,92
Dona Inês (PB);82199,79
Duas Estradas (PB);40466,31
Emas (PB);34159,4
Esperança (PB);440709,75
Fagundes (PB);93114,11
Frei Martinho (PB);29421,97
Gado Bravo (PB);66776,37
Guarabira (PB);1082009,09
Gurinhém (PB);130181,23
Gurjão (PB);32398,37
Ibiara (PB);49731,85
Imaculada (PB);83961,97
Ingá (PB);179566,09
Itabaiana (PB);308419,65
Itaporanga (PB);300247,71
Itapororoca (PB);183106,81
Itatuba (PB);124558,28
Jacaraú (PB);135670,87
Jericó (PB);68202,69
João Pessoa (PB);20846769,68
Juarez Távora (PB);62344,14
Juazeirinho (PB);184700,77
Junco do Seridó (PB);72981,27
Juripiranga (PB);103621,51
Juru (PB);75899,63
Lagoa (PB);38201,23
Lagoa de Dentro (PB);74439,38
Lagoa Seca (PB);281110,25
Lastro (PB);26180,66
Livramento (PB);58137,26
Logradouro (PB);40577,17
Lucena (PB);182152,84
Mãe d'Água (PB);33726,58
Malta (PB);53701,62
Mamanguape (PB);689525,29
Manaíra (PB);79351,29
Marcação (PB);80774,78
Mari (PB);216613,83
Marizópolis (PB);69837,76
Massaranduba (PB);113504,89
Mataraca (PB);204997,18
Matinhas (PB);49293,59
Mato Grosso (PB);27472,78
Maturéia (PB);54125,03
Mogeiro (PB);135576,87
Montadas (PB);48804,31
Monte Horebe (PB);36337,56
Monteiro (PB);577439,52
Mulungu (PB);78910,86
Natuba (PB);85989,12
Nazarezinho (PB);59035
Nova Floresta (PB);88879,66
Nova Olinda (PB);51632,6
Nova Palmeira (PB);43489,27
Olho d'Água (PB);55015,59
Olivedos (PB);38454,27
Ouro Velho (PB);31597,87
Parari (PB);20151,77
Passagem (PB);23885,7
Patos (PB);1914258,76
Paulista (PB);137898,74
Pedra Branca (PB);32218,8
Pedra Lavrada (PB);71961,35
Pedras de Fogo (PB);414847,58
Piancó (PB);189803,9
Picuí (PB);192946,14
Pilar (PB);102745,04
Pilões (PB);74950,61
Pilõezinhos (PB);49397,62
Pirpirituba (PB);89060,73
Pitimbu (PB);274459,23
Pocinhos (PB);242625,6
Poço Dantas (PB);37040,04
Poço de José de Moura (PB);41621,16
Pombal (PB);416189,27
Prata (PB);52347,66
Princesa Isabel (PB);245165,17
Puxinanã (PB);108320,85
Queimadas (PB);509151,82
Quixaba (PB);23105,29
Remígio (PB);174318,47
Pedro Régis (PB);49951,45
Riachão (PB);31614,84
Riachão do Bacamarte (PB);45271,88
Riachão do Poço (PB);47507,06
Riacho de Santo Antônio (PB);26288,78
Riacho dos Cavalos (PB);82119,88
Rio Tinto (PB);266958,54
Salgadinho (PB);27940,69
Salgado de São Félix (PB);118063,02
Santa Cecília (PB);54465,41
Santa Cruz (PB);56412,64
Santa Helena (PB);51845,87
Santa Inês (PB);31283,43
Santa Luzia (PB);225066,66
Santana de Mangueira (PB);44018,65
Santana dos Garrotes (PB);56992,77
Joca Claudino (PB);28562,11
Santa Rita (PB);2570700,66
Santa Teresinha (PB);44931,55
Santo André (PB);25972,67
São Bento (PB);475941,6
São Bentinho (PB);48864,36
São Domingos do Cariri (PB);23839,32
São Domingos (PB);30021,1
São Francisco (PB);35113,39
São João do Cariri (PB);44449,45
São João do Tigre (PB);35380,54
São José da Lagoa Tapada (PB);62415,77
São José de Caiana (PB);47911,6
São José de Espinharas (PB);45139,36
São José dos Ramos (PB);48512,23
São José de Piranhas (PB);204627,68
São José de Princesa (PB);30670,75
São José do Bonfim (PB);29363,38
São José do Brejo do Cruz (PB);25280,74
São José do Sabugi (PB);94257,81
São José dos Cordeiros (PB);32234,79
São Mamede (PB);70104,07
São Miguel de Taipu (PB);68365,66
São Sebastião de Lagoa de Roça (PB);94715,49
São Sebastião do Umbuzeiro (PB);32855,71
Sapé (PB);602179,61
São Vicente do Seridó (PB);72548,92
Serra Branca (PB);130732,54
Serra da Raiz (PB);33091,58
Serra Grande (PB);28030,85
Serra Redonda (PB);64586,34
Serraria (PB);57685,82
Sertãozinho (PB);48502,37
Sobrado (PB);94345,96
Solânea (PB);300929,35
Soledade (PB);178068,21
Sossêgo (PB);34184,69
Sousa (PB);1227898,87
Sumé (PB);184703,69
Tacima (PB);79834,82
Taperoá (PB);119244,66
Tavares (PB);120800,29
Teixeira (PB);143924,6
Tenório (PB);29517,1
Triunfo (PB);74899,75
Uiraúna (PB);174178,46
Umbuzeiro (PB);76661,45
Várzea (PB);31516,41
Vieirópolis (PB);41862,59
Zabelê (PB);23511,29
Abreu e Lima (PE);1775521,66
Afogados da Ingazeira (PE);464402,2
Afrânio (PE);170114,46
Agrestina (PE);282239,29
Água Preta (PE);256466,41
Águas Belas (PE);362224,85
Alagoinha (PE);140198,98
Aliança (PE);331121,06
Altinho (PE);176662,58
Amaraji (PE);224619,7
Angelim (PE);137899,78
Araçoiaba (PE);149605,2
Araripina (PE);1048186,1
Arcoverde (PE);1094831,16
Barra de Guabiraba (PE);135406,29
Barreiros (PE);443385,95
Belém de Maria (PE);84950,58
Belém do São Francisco (PE);288800,67
Belo Jardim (PE);1937403,61
Betânia (PE);91133,72
Bezerros (PE);761317,58
Bodocó (PE);289448,96
Bom Conselho (PE);555891,63
Bom Jardim (PE);336879,72
Bonito (PE);457235,17
Brejão (PE);175382,91
Brejinho (PE);61959,06
Brejo da Madre de Deus (PE);403421,26
Buenos Aires (PE);111808,6
Buíque (PE);441351,8
Cabo de Santo Agostinho (PE);9922739,36
Cabrobó (PE);412831,75
Cachoeirinha (PE);223975,02
Caetés (PE);320795,76
Calçado (PE);102440,18
Calumbi (PE);51377,06
Camaragibe (PE);2132948,68
Camocim de São Félix (PE);165589,42
Camutanga (PE);143750,61
Canhotinho (PE);210675,46
Capoeiras (PE);209099,09
Carnaíba (PE);157607,07
Carnaubeira da Penha (PE);81578,7
Carpina (PE);1591320,36
Caruaru (PE);7610822,13
Casinhas (PE);95317,8
Catende (PE);297472,32
Cedro (PE);96670,71
Chã de Alegria (PE);161195,73
Chã Grande (PE);221545,42
Condado (PE);233307,3
Correntes (PE);174217,24
Cortês (PE);115169,78
Cumaru (PE);96182,66
Cupira (PE);276367,32
Custódia (PE);501999,62
Dormentes (PE);220631,72
Escada (PE);1061909,26
Exu (PE);289108,33
Feira Nova (PE);202759,86
Fernando de Noronha (PE);192950,83
Ferreiros (PE);111448,67
Flores (PE);179460,38
Floresta (PE);432109,09
Frei Miguelinho (PE);126865,18
Gameleira (PE);236949,05
Garanhuns (PE);2603254,06
Glória do Goitá (PE);415396,24
Goiana (PE);10225461,07
Granito (PE);69645,89
Gravatá (PE);1232960,59
Iati (PE);175262,97
Ibimirim (PE);287260,18
Ibirajuba (PE);64117,71
Igarassu (PE);2658698,09
Iguaracy (PE);97413,76
Inajá (PE);175494,2
Ingazeira (PE);37869,81
Ipojuca (PE);12718762,3
Ipubi (PE);320309,15
Itacuruba (PE);61989,26
Itaíba (PE);238644,59
Ilha de Itamaracá (PE);254172,69
Itambé (PE);460741,5
Itapetim (PE);113688,39
Itapissuma (PE);1849064,53
Itaquitinga (PE);139371,99
Jaboatão dos Guararapes (PE);13870739,48
Jaqueira (PE);98926,97
Jataúba (PE);135304,91
Jatobá (PE);131058,37
João Alfredo (PE);308840,96
Joaquim Nabuco (PE);134099,61
Jucati (PE);115456,98
Jupi (PE);170105,8
Jurema (PE);109705,71
Lagoa do Carro (PE);285817,12
Lagoa de Itaenga (PE);338434,29
Lagoa do Ouro (PE);120664,3
Lagoa dos Gatos (PE);112330,99
Lagoa Grande (PE);392796,32
Lajedo (PE);488833,85
Limoeiro (PE);805272,33
Macaparana (PE);286458,5
Machados (PE);190294,7
Manari (PE);132607,85
Maraial (PE);85021,47
Mirandiba (PE);158837,8
Moreno (PE);695216,82
Nazaré da Mata (PE);547715,4
Olinda (PE);5774906,51
Orobó (PE);353975,18
Orocó (PE);188709,96
Ouricuri (PE);710121,77
Palmares (PE);852054,09
Palmeirina (PE);72672,72
Panelas (PE);194535,85
Paranatama (PE);219513,11
Parnamirim (PE);181076,96
Passira (PE);231314,15
Paudalho (PE);872151,26
Paulista (PE);4539274,67
Pedra (PE);250544,1
Pesqueira (PE);728181,21
Petrolândia (PE);1475796,27
Petrolina (PE);7266146,28
Poção (PE);86447,45
Pombos (PE);437572,02
Primavera (PE);167443,29
Quipapá (PE);184603,35
Quixaba (PE);56394,09
Recife (PE);54691223,46
Riacho das Almas (PE);193010,88
Ribeirão (PE);464015,87
Rio Formoso (PE);270464,2
Sairé (PE);136558,83
Salgadinho (PE);71669,96
Salgueiro (PE);978058,77
Saloá (PE);131143,37
Sanharó (PE);212090,2
Santa Cruz (PE);121402,28
Santa Cruz da Baixa Verde (PE);98084,37
Santa Cruz do Capibaribe (PE);1584520,17
Santa Filomena (PE);101168,24
Santa Maria da Boa Vista (PE);650265,1
Santa Maria do Cambucá (PE);110899,28
Santa Terezinha (PE);90714,59
São Benedito do Sul (PE);103172
São Bento do Una (PE);1297041,83
São Caitano (PE);377230,62
São João (PE);238786,22
São Joaquim do Monte (PE);168710,99
São José da Coroa Grande (PE);241196,01
São José do Belmonte (PE);290608,68
São José do Egito (PE);409846,47
São Lourenço da Mata (PE);1259339,22
São Vicente Férrer (PE);273364,55
Serra Talhada (PE);1541192,12
Serrita (PE);138384,78
Sertânia (PE);550782,07
Sirinhaém (PE);521382,04
Moreilândia (PE);84572,1
Solidão (PE);45988,54
Surubim (PE);810720,89
Tabira (PE);280165,46
Tacaimbó (PE);199777,4
Tacaratu (PE);182089,37
Tamandaré (PE);318937,04
Taquaritinga do Norte (PE);298466,49
Terezinha (PE);65887,62
Terra Nova (PE);70571,72
Timbaúba (PE);674549,42
Toritama (PE);709088,54
Tracunhaém (PE);128547,83
Trindade (PE);322945,79
Triunfo (PE);148288,9
Tupanatinga (PE);193422,64
Tuparetama (PE);82649,04
Venturosa (PE);210081,06
Verdejante (PE);75579,16
Vertente do Lério (PE);67431,23
Vertentes (PE);171586,29
Vicência (PE);475914,62
Vitória de Santo Antão (PE);4184120,37
Xexéu (PE);127056,2
Água Branca (AL);161083,74
Anadia (AL);202215,15
Arapiraca (AL);4975188,04
Atalaia (AL);936761,88
Barra de Santo Antônio (AL);185001,41
Barra de São Miguel (AL);215072,94
Batalha (AL);171642,01
Belém (AL);106380,47
Belo Monte (AL);100931,24
Boca da Mata (AL);354464,62
Branquinha (AL);506553,73
Cacimbinhas (AL);102071,83
Cajueiro (AL);180158,22
Campestre (AL);62839,11
Campo Alegre (AL);510190,9
Campo Grande (AL);93603,66
Canapi (AL);126729,92
Capela (AL);191582,11
Carneiros (AL);66808,76
Chã Preta (AL);114503,41
Coité do Nóia (AL);131489,31
Colônia Leopoldina (AL);265004,19
Coqueiro Seco (AL);75403,81
Coruripe (AL);1404933,58
Craíbas (AL);250010,4
Delmiro Gouveia (AL);574186
Dois Riachos (AL);75996,66
Estrela de Alagoas (AL);117594,01
Feira Grande (AL);329743,71
Feliz Deserto (AL);103435,02
Flexeiras (AL);214697,74
Girau do Ponciano (AL);380601,3
Ibateguara (AL);141456,67
Igaci (AL);220052,26
Igreja Nova (AL);386801,7
Inhapi (AL);133093,85
Jacaré dos Homens (AL);53560,28
Jacuípe (AL);163819,77
Japaratinga (AL);172721,52
Jaramataia (AL);53416,32
Jequiá da Praia (AL);253942,72
Joaquim Gomes (AL);343494,5
Jundiá (AL);47847,85
Junqueiro (AL);330715,53
Lagoa da Canoa (AL);209760,12
Limoeiro de Anadia (AL);510684,79
Maceió (AL);23411869,48
Major Isidoro (AL);195052,89
Maragogi (AL);694453,6
Maravilha (AL);70324,8
Marechal Deodoro (AL);2408888,72
Maribondo (AL);155533,31
Mar Vermelho (AL);39743,25
Mata Grande (AL);247876,62
Matriz de Camaragibe (AL);306973,48
Messias (AL);177492,52
Minador do Negrão (AL);58504,75
Monteirópolis (AL);57994,32
Murici (AL);404936,05
Novo Lino (AL);158769,43
Olho d'Água das Flores (AL);217964,09
Olho d'Água do Casado (AL);75480,88
Olho d'Água Grande (AL);50483,11
Olivença (AL);84747
Ouro Branco (AL);83592,1
Palestina (AL);39564,8
Palmeira dos Índios (AL);947013,59
Pão de Açúcar (AL);216317,05
Pariconha (AL);76646,73
Paripueira (AL);170825,75
Passo de Camaragibe (AL);217863,31
Paulo Jacinto (AL);77637,47
Penedo (AL);796391,47
Piaçabuçu (AL);311226,43
Pilar (AL);542754,78
Pindoba (AL);38030,3
Piranhas (AL);268003,72
Poço das Trincheiras (AL);92541,91
Porto Calvo (AL);352156,88
Porto de Pedras (AL);214059,57
Porto Real do Colégio (AL);202440,27
Quebrangulo (AL);139084
Rio Largo (AL);1167789,57
Roteiro (AL);138243,58
Santa Luzia do Norte (AL);174613,57
Santana do Ipanema (AL);563952,15
Santana do Mundaú (AL);971680,07
São Brás (AL);91276,59
São José da Laje (AL);364687,53
São José da Tapera (AL);274159,6
São Luís do Quitunde (AL);624774,8
São Miguel dos Campos (AL);1123401,44
São Miguel dos Milagres (AL);164777,58
São Sebastião (AL);564021,75
Satuba (AL);187816,98
Senador Rui Palmeira (AL);87435,38
Tanque d'Arca (AL);59958,58
Taquarana (AL);312753,32
Teotônio Vilela (AL);505837,76
Traipu (AL);200850,27
União dos Palmares (AL);1053666,88
