municipio;pib_2020
Goianésia do Pará (PA);348125,47
Gurupá (PA);271949,98
Igarapé-Açu (PA);347115,57
Igarapé-Miri (PA);521727,77
Inhangapi (PA);120138,62
Ipixuna do Pará (PA);578056,46
Irituia (PA);221162,04
Itaituba (PA);2046615,56
Itupiranga (PA);581800,99
Jacareacanga (PA);526085,51
Jacundá (PA);489516,6
Juruti (PA);1207210,59
Limoeiro do Ajuru (PA);424661,11
Mãe do Rio (PA);292628,17
Magalhães Barata (PA);74303,99
Marabá (PA);11417650,05
Maracanã (PA);229127,41
Marapanim (PA);213435,71
Marituba (PA);1932709,77
Medicilândia (PA);655466,35
Melgaço (PA);181090,86
Mocajuba (PA);380344,33
Moju (PA);818857,93
Mojuí dos Campos (PA);171488,41
Monte Alegre (PA);624754,95
Muaná (PA);259275,92
Nova Esperança do Piriá (PA);209132,32
Nova Ipixuna (PA);158816,02
Nova Timboteua (PA);116212,54
Novo Progresso (PA);700090,86
Novo Repartimento (PA);833418,93
Óbidos (PA);979069,93
Oeiras do Pará (PA);363771,09
Oriximiná (PA);2087920,75
Ourém (PA);185856,82
Ourilândia do Norte (PA);635604,24
Pacajá (PA);678531,9
Palestina do Pará (PA);72485,64
Paragominas (PA);3136000,92
Parauapebas (PA);23035846,88
Pau D'Arco (PA);89237,01
Peixe-Boi (PA);53925,87
Piçarra (PA);212344,12
Placas (PA);259230,47
Ponta de Pedras (PA);222251,35
Portel (PA);788180,68
Porto de Moz (PA);322594,52
Prainha (PA);293716,03
Primavera (PA);237431,11
Quatipuru (PA);100238,2
Redenção (PA);1867762,77
Rio Maria (PA);495740,79
Rondon do Pará (PA);534710,92
Rurópolis (PA);376323,62
Salinópolis (PA);532188,45
Salvaterra (PA);180642,6
Santa Bárbara do Pará (PA);181390,61
Santa Cruz do Arari (PA);71848,06
Santa Izabel do Pará (PA);796708,71
Santa Luzia do Pará (PA);161038,27
Santa Maria das Barreiras (PA);499466,16
Santa Maria do Pará (PA);291668,86
Santana do Araguaia (PA);1036054,57
Santarém (PA);5126171,51
Santarém Novo (PA);45342,6
Santo Antônio do Tauá (PA);385918,64
São Caetano de Odivelas (PA);145761,02
São Domingos do Araguaia (PA);285258,55
São Domingos do Capim (PA);346817,19
São Félix do Xingu (PA);1450327,48
São Francisco do Pará (PA);240872,7
São Geraldo do Araguaia (PA);521744,15
São João da Ponta (PA);46627,97
São João de Pirabas (PA);169548,26
São João do Araguaia (PA);134015,25
São Miguel do Guamá (PA);631772,76
São Sebastião da Boa Vista (PA);205086,97
Sapucaia (PA);106317,75
Senador José Porfírio (PA);163414,21
Soure (PA);197890,28
Tailândia (PA);951253,59
Terra Alta (PA);71605,78
Terra Santa (PA);464654,65
Tomé-Açu (PA);713214,97
Tracuateua (PA);232494,32
Trairão (PA);286790,79
Tucumã (PA);827871,45
Tucuruí (PA);5318264,26
Ulianópolis (PA);1590909,13
Uruará (PA);610827,41
Vigia (PA);388467,99
Viseu (PA);491155,71
Vitória do Xingu (PA);4051017,42
Xinguara (PA);1294077,46
Serra do Navio (AP);72868,86
Amapá (AP);156503,75
Pedra Branca do Amapari (AP);333246,36
Calçoene (AP);163463,48
Cutias (AP);82037,05
Ferreira Gomes (AP);494386,09
Itaubal (AP);74932,81
Laranjal do Jari (AP);970378,22
Macapá (AP);11434726,1
Mazagão (AP);290136,06
Oiapoque (AP);460644,13
Porto Grande (AP);338259,55
Pracuúba (AP);71658,63
Santana (AP);2125735,24
Tartarugalzinho (AP);231684,72
Vitória do Jari (AP);196000,03
Abreulândia (TO);53931,54
Aguiarnópolis (TO);162878,38
Aliança do Tocantins (TO);109341,46
Almas (TO);171908,14
Alvorada (TO);335010,84
Ananás (TO);148448,42
Angico (TO);38890,64
Aparecida do Rio Negro (TO);127069,69
Aragominas (TO);67880,66
Araguacema (TO);143547,46
Araguaçu (TO);449448,34
Araguaína (TO);4710554,52
Araguanã (TO);69801,52
Araguatins (TO);446448,71
Arapoema (TO);179081,48
Arraias (TO);208987,92
Augustinópolis (TO);280534,22
Aurora do Tocantins (TO);46879,45
Axixá do Tocantins (TO);133246,58
Babaçulândia (TO);112239,59
Bandeirantes do Tocantins (TO);103132,92
Barra do Ouro (TO);57835,28
Barrolândia (TO);95659,3
Bernardo Sayão (TO);75466,88
Bom Jesus do Tocantins (TO);123267,5
Brasilândia do Tocantins (TO);43680,3
Brejinho de Nazaré (TO);170055,7
Buriti do Tocantins (TO);108195,36
Cachoeirinha (TO);29532,1
Campos Lindos (TO);333989,02
Cariri do Tocantins (TO);364639
Carmolândia (TO);41442,88
Carrasco Bonito (TO);43325,05
Caseara (TO);168352,94
Centenário (TO);42479,54
Chapada de Areia (TO);24102,32
Chapada da Natividade (TO);68790,67
Colinas do Tocantins (TO);798789
Combinado (TO);73776,48
Conceição do Tocantins (TO);57994,7
Couto Magalhães (TO);97436,55
Cristalândia (TO);124663,19
Crixás do Tocantins (TO);48421,3
Darcinópolis (TO);228367,09
Dianópolis (TO);446105,59
Divinópolis do Tocantins (TO);122632,87
Dois Irmãos do Tocantins (TO);108139,2
Dueré (TO);127023,56
Esperantina (TO);98584,41
Fátima (TO);78282,22
Figueirópolis (TO);183627,53
Filadélfia (TO);111412,82
Formoso do Araguaia (TO);365806,46
Fortaleza do Tabocão (TO);200087,62
Goianorte (TO);81032,01
Goiatins (TO);157725,2
Guaraí (TO);697645,43
Gurupi (TO);2325922,64
Ipueiras (TO);33083,28
Itacajá (TO);108959,38
Itaguatins (TO);68607,47
Itapiratins (TO);74384,41
Itaporã do Tocantins (TO);46519,28
Jaú do Tocantins (TO);63997,65
Juarina (TO);30599,34
Lagoa da Confusão (TO);527336,01
Lagoa do Tocantins (TO);45685,07
Lajeado (TO);68336,63
Lavandeira (TO);25746,28
Lizarda (TO);38788,72
Luzinópolis (TO);45658,62
Marianópolis do Tocantins (TO);146855,26
Mateiros (TO);185915,13
Maurilândia do Tocantins (TO);41930,58
Miracema do Tocantins (TO);614499,71
Miranorte (TO);286024,2
Monte do Carmo (TO);184901,2
Monte Santo do Tocantins (TO);38117,7
Palmeiras do Tocantins (TO);73812,82
Muricilândia (TO);47541,97
Natividade (TO);156566,94
Nazaré (TO);48633,47
Nova Olinda (TO);312101,06
Nova Rosalândia (TO);56565,51
Novo Acordo (TO);61671,69
Novo Alegre (TO);29336,9
Novo Jardim (TO);30831,97
Oliveira de Fátima (TO);20798,42
Palmeirante (TO);88640,19
Palmeirópolis (TO);124922,24
Paraíso do Tocantins (TO);1389364,92
Paranã (TO);243093,27
Pau D'Arco (TO);70358,72
Pedro Afonso (TO);478126,82
Peixe (TO);754101,53
Pequizeiro (TO);78631,25
Colméia (TO);151861,11
Pindorama do Tocantins (TO);58384,19
Piraquê (TO);56933,41
Pium (TO);196563,2
Ponte Alta do Bom Jesus (TO);53250,4
Ponte Alta do Tocantins (TO);93335,95
Porto Alegre do Tocantins (TO);34848,98
Porto Nacional (TO);1868578,46
Praia Norte (TO);80908,76
Presidente Kennedy (TO);52469,89
Pugmil (TO);63456,9
