municipio;esfera;rend_medio_bruto_2018
Lagoa do Piauí;Municipal;4055,381
Lagoa do Sítio;Municipal;2112,317
Landri Sales;Municipal;2997,895
Luís Correia;Municipal;4783,535
Luzilândia;Municipal;3400,814
Madeiro;Municipal;2467,659
Manoel Emídio;Municipal;2498,11
Marcolândia;Municipal;2780,221
Marcos Parente;Municipal;3595,723
Massapê do Piauí;Municipal;3101,163
Matias Olímpio;Municipal;2210,302
Miguel Alves;Municipal;5052,088
Miguel Leão;Municipal;2936,295
Milton Brandão;Municipal;3181,07
Monsenhor Gil;Municipal;5364,119
Monsenhor Hipólito;Municipal;3715,606
Monte Alegre do Piauí;Municipal;2394,638
Morro Cabeça no Tempo;Municipal;
Morro do Chapéu do Piauí;Municipal;2934,241
Murici dos Portelas;Municipal;3976,91
Nazaré do Piauí;Municipal;3143,233
Nazária;Municipal;2517,384
Nossa Senhora de Nazaré;Municipal;
Nossa Senhora dos Remédios;Municipal;
Novo Oriente do Piauí;Municipal;1893,263
Novo Santo Antônio;Municipal;3946,925
Oeiras;Municipal;4224,98
Olho D'Água do Piauí;Municipal;2237,871
Padre Marcos;Municipal;
Paes Landim;Municipal;
Pajeú do Piauí;Municipal;3053,628
Palmeira do Piauí;Municipal;1877,283
Palmeirais;Municipal;2871,92
Paquetá;Municipal;1461,429
Parnaguá;Municipal;3737,341
Parnaíba;Municipal;4406,536
Passagem Franca do Piauí;Municipal;4425,019
Patos do Piauí;Municipal;3343,647
Pau D'Arco do Piauí;Municipal;
Paulistana;Municipal;2756,746
Pavussu;Municipal;2461,559
Pedro II;Municipal;3536,223
Pedro Laurentino;Municipal;2701,661
Nova Santa Rita;Municipal;3555,384
Picos;Municipal;3662,762
Pimenteiras;Municipal;1604,993
Pio IX;Municipal;3304,484
Piracuruca;Municipal;4334,502
Piripiri;Municipal;2132,573
Porto;Municipal;3492,14
Porto Alegre do Piauí;Municipal;1594,017
Prata do Piauí;Municipal;
Queimada Nova;Municipal;5931,287
Redenção do Gurguéia;Municipal;2016,517
Regeneração;Municipal;3103,528
Riacho Frio;Municipal;3222,719
Ribeira do Piauí;Municipal;3350,1
Ribeiro Gonçalves;Municipal;3861,406
Rio Grande do Piauí;Municipal;2411,681
Santa Cruz do Piauí;Municipal;2455,451
Santa Cruz dos Milagres;Municipal;2283,531
Santa Filomena;Municipal;
Santa Luz;Municipal;4903,278
Santana do Piauí;Municipal;2856,639
Santa Rosa do Piauí;Municipal;3491,703
Santo Antônio de Lisboa;Municipal;2571,163
Santo Antônio dos Milagres;Municipal;3661,705
Santo Inácio do Piauí;Municipal;3253,288
São Braz do Piauí;Municipal;3855,008
São Félix do Piauí;Municipal;2158,437
São Francisco de Assis do Piauí;Municipal;3848,904
São Francisco do Piauí;Municipal;2368,88
São Gonçalo do Gurguéia;Municipal;3356,821
São Gonçalo do Piauí;Municipal;2836,145
São João da Canabrava;Municipal;3062,348
São João da Fronteira;Municipal;3762,845
São João da Serra;Municipal;2945,496
São João da Varjota;Municipal;3045,969
São João do Arraial;Municipal;3552,043
São João do Piauí;Municipal;2456,289
São José do Divino;Municipal;2521,077
São José do Peixe;Municipal;3970,41
São José do Piauí;Municipal;2096,795
São Julião;Municipal;3146,462
São Lourenço do Piauí;Municipal;3790,209
São Luis do Piauí;Municipal;
São Miguel da Baixa Grande;Municipal;2431,799
São Miguel do Fidalgo;Municipal;2652,543
São Miguel do Tapuio;Municipal;2715,632
São Pedro do Piauí;Municipal;4212,134
São Raimundo Nonato;Municipal;2517,299
Sebastião Barros;Municipal;3757,14
Sebastião Leal;Municipal;2828,9
Sigefredo Pacheco;Municipal;2806,457
Simões;Municipal;3900,967
Simplício Mendes;Municipal;3093,56
Socorro do Piauí;Municipal;3810,728
Sussuapara;Municipal;2776,483
Tamboril do Piauí;Municipal;2834,059
Tanque do Piauí;Municipal;3129,103
Teresina;Municipal;5162,846
União;Municipal;3674,405
Uruçuí;Municipal;3493,688
Valença do Piauí;Municipal;3712,172
Várzea Branca;Municipal;3717,931
Várzea Grande;Municipal;
Vera Mendes;Municipal;
Vila Nova do Piauí;Municipal;2816,201
Wall Ferraz;Municipal;2240,132
Abaiara;Municipal;2931,002
Acarape;Municipal;2751,724
Acaraú;Municipal;3824,163
Acopiara;Municipal;2909,971
Aiuaba;Municipal;
Alcântaras;Municipal;
Altaneira;Municipal;3692,891
Alto Santo;Municipal;2922,486
Amontada;Municipal;3280,382
Antonina do Norte;Municipal;
Apuiarés;Municipal;4066,221
Aquiraz;Municipal;3963,13
Aracati;Municipal;2792,053
Aracoiaba;Municipal;2344,406
Ararendá;Municipal;2939,947
Araripe;Municipal;2883,198
Aratuba;Municipal;3382,228
Arneiroz;Municipal;2786,916
Assaré;Municipal;1689,596
Aurora;Municipal;3410,306
Baixio;Municipal;2745,52
Banabuiú;Municipal;3491,991
Barbalha;Municipal;4883,981
Barreira;Municipal;3608,893
Barro;Municipal;3324,439
Barroquinha;Municipal;3616,414
Baturité;Municipal;3717,359
Beberibe;Municipal;3487,526
Bela Cruz;Municipal;3428,875
Boa Viagem;Municipal;2678,365
Brejo Santo;Municipal;1578,527
Camocim;Municipal;3463,236
Campos Sales;Municipal;2004,226
Canindé;Municipal;4311,427
Capistrano;Municipal;2466,178
Caridade;Municipal;3948,619
Cariré;Municipal;2302,399
Caririaçu;Municipal;2734,004
Cariús;Municipal;3113,649
Carnaubal;Municipal;3125,257
Cascavel;Municipal;2708,907
Catarina;Municipal;3198,625
Catunda;Municipal;3742,729
Caucaia;Municipal;4231,261
Cedro;Municipal;3684,817
Chaval;Municipal;2254,93
Choró;Municipal;3175,136
Chorozinho;Municipal;3349,232
Coreaú;Municipal;3415,013
Crateús;Municipal;3380,222
Crato;Municipal;3557,193
Croatá;Municipal;4422,209
Cruz;Municipal;2941,334
Deputado Irapuan Pinheiro;Municipal;3080,907
Ereré;Municipal;4116,774
Eusébio;Municipal;3001,643
Farias Brito;Municipal;3084,371
Forquilha;Municipal;2761,232
Fortaleza;Municipal;5275,577
Fortim;Municipal;2315,591
Frecheirinha;Municipal;3496,215
General Sampaio;Municipal;2849,603
Graça;Municipal;
Granja;Municipal;3102,927
Granjeiro;Municipal;3183,676
Groaíras;Municipal;3554,457
Guaiúba;Municipal;2704,868
Guaraciaba do Norte;Municipal;3936,09
Guaramiranga;Municipal;3643,02
Hidrolândia;Municipal;3005,898
Horizonte;Municipal;3657,483
Ibaretama;Municipal;3477,404
Ibiapina;Municipal;3781,669
Ibicuitinga;Municipal;3512,909
Icapuí;Municipal;3194,319
Icó;Municipal;2378,035
Iguatu;Municipal;3105,726
Independência;Municipal;2753,721
Ipaporanga;Municipal;3701,912
Ipaumirim;Municipal;2832,651
Ipu;Municipal;3006,311
Ipueiras;Municipal;3716,992
Iracema;Municipal;3139,609
Irauçuba;Municipal;2315,487
Itaiçaba;Municipal;4653,953
Itaitinga;Municipal;3358,335
Itapajé;Municipal;3782,307
Itapipoca;Municipal;3010,601
Itapiúna;Municipal;2583,967
Itarema;Municipal;2866,571
Itatira;Municipal;2871,586
Jaguaretama;Municipal;3363,561
Jaguaribara;Municipal;4334,168
Jaguaribe;Municipal;3578,656
Jaguaruana;Municipal;2794,929
Jardim;Municipal;3273,908
Jati;Municipal;2680,142
Jijoca de Jericoacoara;Municipal;4528,437
Juazeiro do Norte;Municipal;4191,094
Jucás;Municipal;3951,484
Lavras da Mangabeira;Municipal;2817,804
Limoeiro do Norte;Municipal;4511,971
Madalena;Municipal;2891,125
Maracanaú;Municipal;4257,952
Maranguape;Municipal;1848,889
Marco;Municipal;2834,615
Martinópole;Municipal;3017,99
Massapê;Municipal;3550,98
Mauriti;Municipal;1869,936
Meruoca;Municipal;3190,983
Milagres;Municipal;1656,374
Milhã;Municipal;3105,736
Miraíma;Municipal;2057,445
Missão Velha;Municipal;3693,936
Mombaça;Municipal;3878,931
Monsenhor Tabosa;Municipal;2827,863
Morada Nova;Municipal;4199,468
Moraújo;Municipal;2580,561
Morrinhos;Municipal;2705,727
Mucambo;Municipal;1410,348
Mulungu;Municipal;2732,328
Nova Olinda;Municipal;4625,344
Nova Russas;Municipal;1740,27
Novo Oriente;Municipal;3002,98
Ocara;Municipal;3013,115
Orós;Municipal;3796,336
Pacajus;Municipal;3170,037
Pacatuba;Municipal;3141,558
Pacoti;Municipal;3184,304
Pacujá;Municipal;2865,637
Palhano;Municipal;3156,412
Palmácia;Municipal;2558,268
Paracuru;Municipal;3444,238
Paraipaba;Municipal;4257,811
Parambu;Municipal;2519,898
Paramoti;Municipal;4094,457
Pedra Branca;Municipal;2379,153
Penaforte;Municipal;3908,133
Pentecoste;Municipal;3451,335
Pereiro;Municipal;3685,779
Pindoretama;Municipal;3132,138
Piquet Carneiro;Municipal;2686,042
Pires Ferreira;Municipal;2514,051
Poranga;Municipal;3194,838
Porteiras;Municipal;2165,715
Potengi;Municipal;2703,082
Potiretama;Municipal;2378,901
Quiterianópolis;Municipal;2181,825
Quixadá;Municipal;3292,238
Quixelô;Municipal;2895,33
Quixeramobim;Municipal;2400,671
Quixeré;Municipal;3913,747
Redenção;Municipal;3260,631
Reriutaba;Municipal;2842,212
Russas;Municipal;3494,28
Saboeiro;Municipal;2360,057
Salitre;Municipal;2539,276
Santana do Acaraú;Municipal;3400,064
Santana do Cariri;Municipal;3214,17
Santa Quitéria;Municipal;2909,787
São Benedito;Municipal;3895,929
São Gonçalo do Amarante;Municipal;2990,97
São João do Jaguaribe;Municipal;
São Luís do Curu;Municipal;4050,521
Senador Pompeu;Municipal;3881,844
Senador Sá;Municipal;2852,74
Sobral;Municipal;4022,66
Solonópole;Municipal;3556,027
Tabuleiro do Norte;Municipal;3507,533
Tamboril;Municipal;3585,569
Tarrafas;Municipal;2351,046
Tauá;Municipal;2624,248
Tejuçuoca;Municipal;3154,884
Tianguá;Municipal;3692,787
Trairi;Municipal;2839,338
Tururu;Municipal;2869,792
Ubajara;Municipal;4294,75
Umari;Municipal;3184,206
Umirim;Municipal;3204,994
Uruburetama;Municipal;3128,686
Uruoca;Municipal;2493,585
Varjota;Municipal;3171,772
Várzea Alegre;Municipal;3023,416
Viçosa do Ceará;Municipal;
Acari;Municipal;4233,227
Açu;Municipal;4018,521
Afonso Bezerra;Municipal;3176,722
Água Nova;Municipal;3442,415
Alexandria;Municipal;2331,84
Almino Afonso;Municipal;5751,227
Alto do Rodrigues;Municipal;3009,686
Angicos;Municipal;4824,166
Antônio Martins;Municipal;3472,365
Apodi;Municipal;4427,105
Areia Branca;Municipal;4404,872
Arês;Municipal;5901,99
Campo Grande;Municipal;3280,606
Baía Formosa;Municipal;4003,27
Baraúna;Municipal;4864,736
Barcelona;Municipal;2919,292
Bento Fernandes;Municipal;5459,385
Bodó;Municipal;3183,833
Bom Jesus;Municipal;3574,985
Brejinho;Municipal;4321,213
Caiçara do Norte;Municipal;2856,231
Caiçara do Rio do Vento;Municipal;3170,643
Caicó;Municipal;3460,619
Campo Redondo;Municipal;2697,908
Canguaretama;Municipal;3429,11
Caraúbas;Municipal;2966,247
Carnaúba dos Dantas;Municipal;4031,836
Carnaubais;Municipal;2795,369
Ceará-Mirim;Municipal;3724,318
Cerro Corá;Municipal;4309,074
Coronel Ezequiel;Municipal;2545,27
Coronel João Pessoa;Municipal;3463,739
Cruzeta;Municipal;2680,653
Currais Novos;Municipal;4717,118
Doutor Severiano;Municipal;4528,35
Parnamirim;Municipal;4572,207
Encanto;Municipal;2840,108
Equador;Municipal;3082,913
Espírito Santo;Municipal;2334,187
Extremoz;Municipal;4523,014
Felipe Guerra;Municipal;4477,653
Fernando Pedroza;Municipal;3493,4
Florânia;Municipal;3550,288
Francisco Dantas;Municipal;2443,576
Frutuoso Gomes;Municipal;1499,477
Galinhos;Municipal;4505,579
Goianinha;Municipal;3814,444
Governador Dix-Sept Rosado;Municipal;5136,304
Grossos;Municipal;2613,106
Guamaré;Municipal;4683,276
Ielmo Marinho;Municipal;3878,759
Ipanguaçu;Municipal;2924,327
Ipueira;Municipal;5417,175
Itajá;Municipal;2353,429
Itaú;Municipal;3841,135
Jaçanã;Municipal;2782,922
Jandaíra;Municipal;3204,812
Janduís;Municipal;3332,397
Januário Cicco;Municipal;5237,613
Japi;Municipal;2886,596
Jardim de Angicos;Municipal;2851,668
Jardim de Piranhas;Municipal;4398,593
Jardim do Seridó;Municipal;3967,847
João Câmara;Municipal;5629,718
João Dias;Municipal;3170,552
José da Penha;Municipal;2511,417
Jucurutu;Municipal;3624,999
Jundiá;Municipal;5084,476
Lagoa d'Anta;Municipal;4261,036
Lagoa de Pedras;Municipal;2545,027
Lagoa de Velhos;Municipal;3618,708
Lagoa Nova;Municipal;3958,718
Lagoa Salgada;Municipal;4316,894
Lajes;Municipal;2753,906
Lajes Pintadas;Municipal;2631,394
Lucrécia;Municipal;5061,028
Luís Gomes;Municipal;2982,452
Macaíba;Municipal;4354,281
Macau;Municipal;4801,868
Major Sales;Municipal;3887,127
Marcelino Vieira;Municipal;3174,979
Martins;Municipal;2844,905
Maxaranguape;Municipal;2158,107
Messias Targino;Municipal;
Montanhas;Municipal;5235,874
Monte Alegre;Municipal;3170,713
Monte das Gameleiras;Municipal;3073,972
Mossoró;Municipal;6383,955
Natal;Municipal;5941,281
Nísia Floresta;Municipal;4224,92
Nova Cruz;Municipal;4483,859
Olho d'Água do Borges;Municipal;2580,342
Ouro Branco;Municipal;4304,962
Paraná;Municipal;3773,752
Paraú;Municipal;4118,842
Parazinho;Municipal;3659,983
Parelhas;Municipal;5103,253
Rio do Fogo;Municipal;3909,24
Passa e Fica;Municipal;3196,822
Passagem;Municipal;2149,283
Patu;Municipal;4362,032
Santa Maria;Municipal;3616,073
Pau dos Ferros;Municipal;5451,151
Pedra Grande;Municipal;3220,587
Pedra Preta;Municipal;4487,068
Pedro Avelino;Municipal;3779,824
Pedro Velho;Municipal;2855,519
Pendências;Municipal;3005,424
Pilões;Municipal;3426,116
Poço Branco;Municipal;3263,454
Portalegre;Municipal;3056,434
Porto do Mangue;Municipal;2790,706
Serra Caiada;Municipal;5141,11
Pureza;Municipal;4148,765
Rafael Fernandes;Municipal;3671,931
Rafael Godeiro;Municipal;3750,002
Riacho da Cruz;Municipal;3561,264
Riacho de Santana;Municipal;4102,537
Riachuelo;Municipal;4303,703
Rodolfo Fernandes;Municipal;3827,08
Tibau;Municipal;4386,595
Ruy Barbosa;Municipal;3061,699
Santa Cruz;Municipal;4749,688
Santana do Matos;Municipal;4003,002
Santana do Seridó;Municipal;5134,165
Santo Antônio;Municipal;4451,781
São Bento do Norte;Municipal;3685,496
São Bento do Trairí;Municipal;3038,734
São Fernando;Municipal;4706,61
São Francisco do Oeste;Municipal;2428,748
São Gonçalo do Amarante;Municipal;4162,452
São João do Sabugi;Municipal;3842,212
São José de Mipibu;Municipal;6478,172
São José do Campestre;Municipal;5067,507
São José do Seridó;Municipal;3236,969
São Miguel;Municipal;4295,91
São Miguel do Gostoso;Municipal;2917,884
São Paulo do Potengi;Municipal;3732,198
São Pedro;Municipal;4419,261
São Rafael;Municipal;3324,909
São Tomé;Municipal;4215,456
São Vicente;Municipal;3445,92
Senador Elói de Souza;Municipal;3449,831
Senador Georgino Avelino;Municipal;3444,228
Serra de São Bento;Municipal;3978,528
Serra do Mel;Municipal;3847,836
Serra Negra do Norte;Municipal;3684,012
Serrinha;Municipal;3903,709
Serrinha dos Pintos;Municipal;3713,027
Severiano Melo;Municipal;2417,3
Sítio Novo;Municipal;3801,062
Taboleiro Grande;Municipal;4049,902
Taipu;Municipal;3327,202
Tangará;Municipal;4495,81
Tenente Ananias;Municipal;
Tenente Laurentino Cruz;Municipal;3874,263
Tibau do Sul;Municipal;4206,178
Timbaúba dos Batistas;Municipal;3736,525
Touros;Municipal;3634,654
Triunfo Potiguar;Municipal;3458,599
Umarizal;Municipal;3434,596
Upanema;Municipal;5308,558
Várzea;Municipal;2376,232
Venha-Ver;Municipal;4526,319
Vera Cruz;Municipal;4026,218
Viçosa;Municipal;1950,544
Vila Flor;Municipal;4210,195
Água Branca;Municipal;2160,943
Aguiar;Municipal;1597,242
Alagoa Grande;Municipal;2606,431
Alagoa Nova;Municipal;2875,412
Alagoinha;Municipal;3235,138
Alcantil;Municipal;1970,24
Algodão de Jandaíra;Municipal;2620,169
Alhandra;Municipal;2714,667
São João do Rio do Peixe;Municipal;2728,1
Amparo;Municipal;8574,395
Aparecida;Municipal;2714,221
Araçagi;Municipal;1823,621
Arara;Municipal;2239,821
Araruna;Municipal;3213,072
Areia;Municipal;3364,674
Areia de Baraúnas;Municipal;2186,114
Areial;Municipal;2374,274
Aroeiras;Municipal;
Assunção;Municipal;2885,168
Baía da Traição;Municipal;
Bananeiras;Municipal;2104,17
Baraúna;Municipal;2858,824
Barra de Santana;Municipal;3870,741
Barra de Santa Rosa;Municipal;2464,414
Barra de São Miguel;Municipal;1863,769
Bayeux;Municipal;2045,363
Belém;Municipal;1883,573
Belém do Brejo do Cruz;Municipal;
Bernardino Batista;Municipal;2877,187
Boa Ventura;Municipal;
Boa Vista;Municipal;2775,565
Bom Jesus;Municipal;2166,446
Bom Sucesso;Municipal;3277,489
Bonito de Santa Fé;Municipal;3948,337
Boqueirão;Municipal;2683,537
Igaracy;Municipal;2668,781
Borborema;Municipal;2400,92
Brejo do Cruz;Municipal;2324,813
Brejo dos Santos;Municipal;3441,257
Caaporã;Municipal;2801,154
Cabaceiras;Municipal;2589,551
Cabedelo;Municipal;2971,955
Cachoeira dos Índios;Municipal;3140,519
Cacimba de Areia;Municipal;10885,15
Cacimba de Dentro;Municipal;2754,494
Cacimbas;Municipal;2478,753
Caiçara;Municipal;2445,542
Cajazeiras;Municipal;4359,602
Cajazeirinhas;Municipal;3053,776
Caldas Brandão;Municipal;1732,305
Camalaú;Municipal;
Campina Grande;Municipal;4686,332
Capim;Municipal;2494,674
Caraúbas;Municipal;2216,649
Carrapateira;Municipal;4157,483
Casserengue;Municipal;2496,766
Catingueira;Municipal;8589,862
Catolé do Rocha;Municipal;4128,254
Caturité;Municipal;3486,056
Conceição;Municipal;2070,338
Condado;Municipal;2540,892
Conde;Municipal;2391,813
Congo;Municipal;2255,556
Coremas;Municipal;2402,573
Coxixola;Municipal;2747,415
Cruz do Espírito Santo;Municipal;
Cubati;Municipal;4507,12
Cuité;Municipal;2289,844
Cuitegi;Municipal;6425,446
Cuité de Mamanguape;Municipal;2416,414
Curral de Cima;Municipal;2383,724
Curral Velho;Municipal;1776,989
Damião;Municipal;2544,742
Desterro;Municipal;2437,619
Vista Serrana;Municipal;2694,523
Diamante;Municipal;2827,218
Dona Inês;Municipal;4694,687
Duas Estradas;Municipal;2291,409
Emas;Municipal;4407,523
Esperança;Municipal;3227,81
Fagundes;Municipal;3846,894
Frei Martinho;Municipal;3473,822
Gado Bravo;Municipal;3318,24
Guarabira;Municipal;2779,484
Gurinhém;Municipal;2319,369
Gurjão;Municipal;2404,021
Ibiara;Municipal;12776,61
Imaculada;Municipal;2639,423
Ingá;Municipal;1985,78
Itabaiana;Municipal;2817,194
Itaporanga;Municipal;
Itapororoca;Municipal;1839,515
Itatuba;Municipal;2174,642
Jacaraú;Municipal;2093,166
Jericó;Municipal;3492,711
João Pessoa;Municipal;2907,861
Juarez Távora;Municipal;2625,119
Juazeirinho;Municipal;2283,554
Junco do Seridó;Municipal;3934,844
Juripiranga;Municipal;2465,544
Juru;Municipal;3634,087
Lagoa;Municipal;1796,85
Lagoa de Dentro;Municipal;4251,653
Lagoa Seca;Municipal;4649,104
Lastro;Municipal;2523,477
Livramento;Municipal;1897,86
Logradouro;Municipal;2315,603
Lucena;Municipal;2364,349
Mãe d'Água;Municipal;2554,975
Malta;Municipal;2883,337
Mamanguape;Municipal;2394,87
Manaíra;Municipal;2295,308
Marcação;Municipal;2140,464
Mari;Municipal;2057,643
Marizópolis;Municipal;3196,189
Massaranduba;Municipal;3003,848
Mataraca;Municipal;
Matinhas;Municipal;1996,259
Mato Grosso;Municipal;3026,66
Maturéia;Municipal;2496,84
Mogeiro;Municipal;2180,744
Montadas;Municipal;2959,245
Monte Horebe;Municipal;2863,118
Monteiro;Municipal;4008,014
Mulungu;Municipal;2110,636
Natuba;Municipal;3251,889
Nazarezinho;Municipal;3311,957
Nova Floresta;Municipal;2761,723
Nova Olinda;Municipal;2529,169
Nova Palmeira;Municipal;3872,64
Olho d'Água;Municipal;
Olivedos;Municipal;3197,225
Ouro Velho;Municipal;2516,197
Parari;Municipal;1936,394
Passagem;Municipal;2185,015
Patos;Municipal;3290,534
Paulista;Municipal;
Pedra Branca;Municipal;2161,708
Pedra Lavrada;Municipal;3526,472
Pedras de Fogo;Municipal;2352,569
Piancó;Municipal;
Picuí;Municipal;3938,569
Pilar;Municipal;2241,89
Pilões;Municipal;2387,95
Pilõezinhos;Municipal;2906,492
Pirpirituba;Municipal;2550,731
Pitimbu;Municipal;1814,687
Pocinhos;Municipal;2810,293
Poço Dantas;Municipal;4160,816
Poço de José de Moura;Municipal;4147,395
Pombal;Municipal;2651,089
Prata;Municipal;2871,456
Princesa Isabel;Municipal;2722,675
Puxinanã;Municipal;2925,914
Queimadas;Municipal;3470,447
Quixaba;Municipal;2684,474
Remígio;Municipal;2525,379
Pedro Régis;Municipal;2336,653
Riachão;Municipal;2328,045
Riachão do Bacamarte;Municipal;1799,777
Riachão do Poço;Municipal;5058,343
Riacho de Santo Antônio;Municipal;2924,09
Riacho dos Cavalos;Municipal;2414,456
Rio Tinto;Municipal;2499,033
Salgadinho;Municipal;4090,57
Salgado de São Félix;Municipal;2341,194
Santa Cecília;Municipal;2502,421
Santa Cruz;Municipal;2791,213
Santa Helena;Municipal;2514,941
Santa Inês;Municipal;3176,253
Santa Luzia;Municipal;2434,744
Santana de Mangueira;Municipal;2592,138
Santana dos Garrotes;Municipal;10837,9
Joca Claudino;Municipal;2723,313
Santa Rita;Municipal;2743,102
Santa Teresinha;Municipal;2598,917
Santo André;Municipal;2070,199
São Bento;Municipal;2181,63
São Bentinho;Municipal;2423,774
São Domingos do Cariri;Municipal;2650,955
São Domingos;Municipal;2916,608
São Francisco;Municipal;3080,54
São João do Cariri;Municipal;1776,881
São João do Tigre;Municipal;2163,072
São José da Lagoa Tapada;Municipal;2221,602
São José de Caiana;Municipal;2901,038
São José de Espinharas;Municipal;2574,496
São José dos Ramos;Municipal;2171,74
São José de Piranhas;Municipal;2912,523
São José de Princesa;Municipal;3132,073
São José do Bonfim;Municipal;3114,144
São José do Brejo do Cruz;Municipal;3091,06
São José do Sabugi;Municipal;2402,654
São José dos Cordeiros;Municipal;1675,55
São Mamede;Municipal;2039,103
São Miguel de Taipu;Municipal;
São Sebastião de Lagoa de Roça;Municipal;2354,102
São Sebastião do Umbuzeiro;Municipal;2571,811
Sapé;Municipal;2468,839
São Vicente do Seridó;Municipal;
Serra Branca;Municipal;2875,293
Serra da Raiz;Municipal;1793,991
Serra Grande;Municipal;4463,606
Serra Redonda;Municipal;1781,927
Serraria;Municipal;2639,67
Sertãozinho;Municipal;2207,785
Sobrado;Municipal;
Solânea;Municipal;2717,05
Soledade;Municipal;2640,024
Sossêgo;Municipal;2376,001
Sousa;Municipal;
Sumé;Municipal;2798,474
Tacima;Municipal;1710,297
Taperoá;Municipal;3738,606
Tavares;Municipal;2416,103
Teixeira;Municipal;3617,564
Tenório;Municipal;3717,07
Triunfo;Municipal;2420,956
Uiraúna;Municipal;2384,749
Umbuzeiro;Municipal;2204,944
Várzea;Municipal;2492,507
Vieirópolis;Municipal;3112,463
Zabelê;Municipal;2581,048
Abreu e Lima;Municipal;4860,096
Afogados da Ingazeira;Municipal;
Afrânio;Municipal;2864,222
Agrestina;Municipal;5406,715
Água Preta;Municipal;2653,562
Águas Belas;Municipal;3676,522
Alagoinha;Municipal;2055,839
Aliança;Municipal;2696,443
Altinho;Municipal;3220,78
Amaraji;Municipal;2114,553
Angelim;Municipal;2102,448
Araçoiaba;Municipal;2971,276
Araripina;Municipal;4029,569
Arcoverde;Municipal;
Barra de Guabiraba;Municipal;2775,046
Barreiros;Municipal;2695,935
Belém de Maria;Municipal;2978,879
Belém do São Francisco;Municipal;2593,87
Belo Jardim;Municipal;2693,518
Betânia;Municipal;3299,717
Bezerros;Municipal;4385,432
Bodocó;Municipal;3395,487
Bom Conselho;Municipal;3679,722
Bom Jardim;Municipal;2451,676
Bonito;Municipal;3059,867
Brejão;Municipal;2252,255
Brejinho;Municipal;2582,626
Brejo da Madre de Deus;Municipal;3123,295
Buenos Aires;Municipal;2844,315
Buíque;Municipal;4076,613
Cabo de Santo Agostinho;Municipal;3307,209
Cabrobó;Municipal;2262,615
Cachoeirinha;Municipal;2864,764
Caetés;Municipal;1846,138
Calçado;Municipal;1913,446
Calumbi;Municipal;3051,466
Camaragibe;Municipal;6392,501
Camocim de São Félix;Municipal;3916,714
Camutanga;Municipal;3940,123
Canhotinho;Municipal;2048,072
Capoeiras;Municipal;2245,909
Carnaíba;Municipal;3514,693
Carnaubeira da Penha;Municipal;3033,318
Carpina;Municipal;4303,587
Caruaru;Municipal;2029,742
Casinhas;Municipal;2423,259
Catende;Municipal;2891,283
Cedro;Municipal;2275,29
Chã de Alegria;Municipal;2753,067
Chã Grande;Municipal;3111,94
Condado;Municipal;3149,25
Correntes;Municipal;2155,111
Cortês;Municipal;2764,693
Cumaru;Municipal;2419,684
Cupira;Municipal;2059,661
Custódia;Municipal;3011,374
Dormentes;Municipal;4036,839
Escada;Municipal;3622,41
Exu;Municipal;3081,848
Feira Nova;Municipal;2703,327
Ferreiros;Municipal;3120,764
Flores;Municipal;2278,679
Floresta;Municipal;4447,281
Frei Miguelinho;Municipal;3680,279
Gameleira;Municipal;3187,13
Garanhuns;Municipal;2489,124
Glória do Goitá;Municipal;3110,136
Goiana;Municipal;4251,211
Granito;Municipal;2896,514
Gravatá;Municipal;5772,097
Iati;Municipal;3090,52
Ibimirim;Municipal;4028,247
Ibirajuba;Municipal;2986,697
Igarassu;Municipal;2754,404
Iguaracy;Municipal;
Inajá;Municipal;4517,735
Ingazeira;Municipal;2082,212
Ipojuca;Municipal;5261,576
Ipubi;Municipal;
Itacuruba;Municipal;2797,895
Itaíba;Municipal;3037,742
Ilha de Itamaracá;Municipal;3060,28
Itambé;Municipal;2063,682
Itapetim;Municipal;2056,271
Itapissuma;Municipal;2862,949
Itaquitinga;Municipal;3038,638
Jaboatão dos Guararapes;Municipal;3386,202
Jaqueira;Municipal;2944,413
Jataúba;Municipal;3207,02
Jatobá;Municipal;3880,421
João Alfredo;Municipal;2864,939
Joaquim Nabuco;Municipal;2048,441
Jucati;Municipal;2291,624
Jupi;Municipal;2048,677
Jurema;Municipal;2090,536
Lagoa do Carro;Municipal;2325,893
Lagoa de Itaenga;Municipal;2823,517
Lagoa do Ouro;Municipal;1960,268
Lagoa dos Gatos;Municipal;4358,454
Lagoa Grande;Municipal;2179,387
Lajedo;Municipal;2090,914
Limoeiro;Municipal;2494,305
Macaparana;Municipal;2331,743
Machados;Municipal;2433,053
Manari;Municipal;
Maraial;Municipal;1794,175
Mirandiba;Municipal;
Moreno;Municipal;3369,663
Nazaré da Mata;Municipal;2755,842
Olinda;Municipal;2802,559
Orobó;Municipal;10184,14
Orocó;Municipal;2326,31
Ouricuri;Municipal;3030,271
Palmares;Municipal;2994,882
Palmeirina;Municipal;2401,976
Panelas;Municipal;1293,238
Paranatama;Municipal;2161,547
Parnamirim;Municipal;2924,672
Passira;Municipal;2694,21
Paudalho;Municipal;3656,915
Paulista;Municipal;3277,721
Pedra;Municipal;2456,19
Pesqueira;Municipal;3513,5
Petrolândia;Municipal;3478,677
Petrolina;Municipal;3072,339
Poção;Municipal;3197,596
Pombos;Municipal;3503,109
Primavera;Municipal;2929,121
