municipio;esfera;rend_medio_bruto_2018
Capanema;Municipal;3531,247
Capitão Poço;Municipal;1916,792
Castanhal;Municipal;5144,087
Chaves;Municipal;3282,143
Colares;Municipal;4036,357
Conceição do Araguaia;Municipal;4605,602
Concórdia do Pará;Municipal;6439,825
Cumaru do Norte;Municipal;5256,278
Curionópolis;Municipal;5252,685
Curralinho;Municipal;3539,744
Curuá;Municipal;3576,4
Curuçá;Municipal;3427,712
Dom Eliseu;Municipal;2767,833
Eldorado do Carajás;Municipal;4862,554
Faro;Municipal;3173,499
Floresta do Araguaia;Municipal;3484,611
Garrafão do Norte;Municipal;3581,871
Goianésia do Pará;Municipal;3196,073
Gurupá;Municipal;2887,671
Igarapé-Açu;Municipal;2712,675
Igarapé-Miri;Municipal;5042,074
Inhangapi;Municipal;2868,477
Ipixuna do Pará;Municipal;4153,118
Irituia;Municipal;4372,251
Itaituba;Municipal;3728,353
Itupiranga;Municipal;4026,363
Jacareacanga;Municipal;5242,669
Jacundá;Municipal;3068,525
Juruti;Municipal;4930,832
Limoeiro do Ajuru;Municipal;4890,016
Mãe do Rio;Municipal;4695,684
Magalhães Barata;Municipal;2179,7
Marabá;Municipal;7241,755
Maracanã;Municipal;2868,539
Marapanim;Municipal;3620,006
Marituba;Municipal;2909,651
Medicilândia;Municipal;2888,496
Melgaço;Municipal;5122,155
Mocajuba;Municipal;4390,346
Moju;Municipal;2881,294
Mojuí dos Campos;Municipal;3103,382
Monte Alegre;Municipal;4392,553
Muaná;Municipal;
Nova Esperança do Piriá;Municipal;3931,072
Nova Ipixuna;Municipal;5399,821
Nova Timboteua;Municipal;2461,629
Novo Progresso;Municipal;3658,77
Novo Repartimento;Municipal;2946,544
Óbidos;Municipal;3665,547
Oeiras do Pará;Municipal;4423,994
Oriximiná;Municipal;6585,964
Ourém;Municipal;3728,709
Ourilândia do Norte;Municipal;3525,83
Pacajá;Municipal;3182,943
Palestina do Pará;Municipal;3051,488
Paragominas;Municipal;5417,594
Parauapebas;Municipal;6602,723
Pau D'Arco;Municipal;5013,844
Peixe-Boi;Municipal;3420,29
Piçarra;Municipal;1992,649
Placas;Municipal;2642,339
Ponta de Pedras;Municipal;2451,616
Portel;Municipal;3242,955
Porto de Moz;Municipal;4347,757
Prainha;Municipal;2855,325
Primavera;Municipal;3045,707
Quatipuru;Municipal;2783,487
Redenção;Municipal;7529,977
Rio Maria;Municipal;4351,007
Rondon do Pará;Municipal;4231,032
Rurópolis;Municipal;3087,24
Salinópolis;Municipal;5009,584
Salvaterra;Municipal;4270,57
Santa Bárbara do Pará;Municipal;2650,831
Santa Cruz do Arari;Municipal;3198,394
Santa Izabel do Pará;Municipal;3520,517
Santa Luzia do Pará;Municipal;4107,116
Santa Maria das Barreiras;Municipal;2936,111
Santa Maria do Pará;Municipal;1630,251
Santana do Araguaia;Municipal;4063,076
Santarém;Municipal;4523,251
Santarém Novo;Municipal;1629,625
Santo Antônio do Tauá;Municipal;4672,428
São Caetano de Odivelas;Municipal;4802,833
São Domingos do Araguaia;Municipal;2419,542
São Domingos do Capim;Municipal;3624,471
São Félix do Xingu;Municipal;5820,846
São Francisco do Pará;Municipal;3922,524
São Geraldo do Araguaia;Municipal;5410,891
São João da Ponta;Municipal;1979,893
São João de Pirabas;Municipal;5330,869
São João do Araguaia;Municipal;3254,173
São Miguel do Guamá;Municipal;3934,145
São Sebastião da Boa Vista;Municipal;2257,318
Sapucaia;Municipal;
Senador José Porfírio;Municipal;4759,822
Soure;Municipal;4009,744
Tailândia;Municipal;7496,718
Terra Alta;Municipal;4202,996
Terra Santa;Municipal;3653,695
Tomé-Açu;Municipal;2296,654
Tracuateua;Municipal;5682,211
Trairão;Municipal;3551,569
Tucumã;Municipal;7205,448
Tucuruí;Municipal;5130,697
Ulianópolis;Municipal;3062,539
Uruará;Municipal;2462,337
Vigia;Municipal;6129,284
Viseu;Municipal;5408,099
Vitória do Xingu;Municipal;5190,054
Xinguara;Municipal;4034,489
Serra do Navio;Municipal;
Amapá;Municipal;3343,833
Pedra Branca do Amapari;Municipal;
Calçoene;Municipal;3438,031
Cutias;Municipal;1679,362
Ferreira Gomes;Municipal;4005,226
Itaubal;Municipal;2827,223
Laranjal do Jari;Municipal;3194,092
Macapá;Municipal;4180,611
Mazagão;Municipal;4425,102
Oiapoque;Municipal;
Porto Grande;Municipal;2854,43
Pracuúba;Municipal;2865,829
Santana;Municipal;3511,497
Tartarugalzinho;Municipal;2630,549
Vitória do Jari;Municipal;2981,984
Abreulândia;Municipal;3100,977
