cod;escola;zona;esfera
11038578;ESCOLA MONTEIRO LOBATO;Urbana;Privada
11005890;EIEEF ABRAO KOOP;Rural;Estadual
11005912;EIEEF ALEXANDRINA DO NASCIMENTO GOMES;Rural;Estadual
11005939;EEEFM ALKINDAR BRASIL DE AROUCA;Urbana;Estadual
11005980;EEEF CAPITAO GODOY;Urbana;Estadual
11006072;EIEEF 05 DE JULHO;Rural;Estadual
11006129;EIEEF FRANCISCO JOSE DE LACERDA;Rural;Estadual
11006234;EIEEF JOSIAS BATISTA DE OLIVEIRA;Rural;Estadual
11006293;EIEEF MARECHAL RONDON;Rural;Estadual
11006366;EIEEF PAULO SALDANHA SOBRINHO;Rural;Estadual
11006390;EIEEF PEDRO AZZI;Rural;Estadual
11006412;EIEEF POSCIDONIO BASTOS;Rural;Estadual
11006420;EEEF PRESIDENTE EURICO GASPAR DUTRA;Urbana;Estadual
11006579;EIEEF TENENTE LIRA;Rural;Estadual
11006595;ESCOLA TOUFIA TANOUS BOUCHABKI;Urbana;Privada
11006617;EEEFM IRMA MARIA CELESTE;Urbana;Estadual
11006633;EEEFM ROCHA LEAL;Urbana;Estadual
11006684;INSTITUTO ESTADUAL DE EDUCACAO PAULO SALDANHA;Urbana;Estadual
11041846;EIEEF MANUM ORO EO;Rural;Estadual
11042842;EIEEF DIDIMO GRACILIANO DE OLIVEIRA;Rural;Estadual
11042850;EIEEF NAWACAM ORO WARAM XIJEIN;Rural;Estadual
11043490;EIEEF WEM CANUM ORO WARAM;Rural;Estadual
11046805;CENTRO EDUCACIONAL NOVO MILENIO;Urbana;Privada
11048930;EIEEF MBIXIRE TAXO MACURAP;Rural;Estadual
11049642;EIEEF MAMXUN TAMANAIN ORO NAO;Rural;Estadual
11067810;EIEEF VALDEMAR CABIXI;Rural;Estadual
11089806;EEEF SALOMAO JUSTINIANO DE MELGAR;Urbana;Estadual
11091800;EIEEF LEONEL BUANGA CANOE;Rural;Estadual
11011661;EEEFM PROF DAYSE MARA DE OLIVEIRA MARTINS;Urbana;Estadual
11012099;EEEFM GOV JORGE TEIXEIRA DE OLIVEIRA;Urbana;Estadual
11012145;EEEFM JOSUE MONTELLO;Urbana;Estadual
11012170;EMEIEF JUSCELINO KUBITSCHEK;Rural;Municipal
11012269;EMEIEF MARECHAL CORDEIRO DE FARIAS;Rural;Municipal
